Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price,Recent Price
Vodafone group plc sponsored adr,VOD,"",27537932.0,457680000.0,0.5371,0.4839,25,1487100.0,5.708455,addition,0.9815970,Q3 2015,UTILITIES AND TELECOMMUNICATIONS,13F,03/31/2022,19.9215,
Vertex pharmaceuticals  inc.,VRTX,"",1707368.0,445572000.0,0.5229,0.4445,26,80500.0,4.948158,addition,0.6675770,Q1 2017,HEALTH CARE,13F,03/31/2022,177.4621,
Glaxosmithkline plc adr,GSK,"",10011921.0,436119000.0,0.5118,0.561,27,-213500.0,-2.087934,reduction,0.3938917,Q3 2009,HEALTH CARE,13F,03/31/2022,41.18,
Colgate-palmolive co.,CL,"",5688786.0,431381000.0,0.5062,0.2401,28,3427400.0,151.561918,addition,0.6788998,Q3 2004,CONSUMER STAPLES,13F,03/31/2022,72.8924,
Dominos pizza inc,DPZ,"",1040825.0,423626000.0,0.4971,0.6711,29,84947.0,8.886804,addition,2.8875657,Q1 2011,CONSUMER DISCRETIONARY,13F,03/31/2022,267.5257,
Merck & co,MRK,"",5099334.0,418400000.0,0.491,0.0175,30,4915334.0,2671.377174,addition,0.2016499,Q2 2019,HEALTH CARE,13F,03/31/2022,81.7621,
Wells fargo & co.  (northwest bancorporation),WFC,"",8390611.0,406609000.0,0.4772,0.0317,31,7859100.0,1478.633556,addition,0.2213676,Q4 2021,FINANCE,13F,03/31/2022,48.4296,
Exelixis inc,EXEL,"",16862278.0,382268000.0,0.4486,0.3889,32,-238500.0,-1.394673,reduction,5.2572925,Q4 2015,HEALTH CARE,13F,03/31/2022,20.66,
Alphabet inc. class c,GOOG,"",134985.0,377012000.0,0.4424,0.5788,33,-25800.0,-16.046273,reduction,0.0430744,Q4 2019,COMMUNICATIONS,13F,03/31/2022,2520.4,
National grid plc adr,NGG,"",4874077.0,374670000.0,0.4397,0.4431,34,-51191.0,-1.039355,reduction,0.6677344,Q2 2011,UTILITIES AND TELECOMMUNICATIONS,13F,03/31/2022,62.03,
Incyte corporation,INCY,"",4697633.0,373086000.0,0.4378,0.4192,35,106900.0,2.328604,addition,2.1207796,Q4 2017,HEALTH CARE,13F,03/31/2022,86.6614,
Abbott laboratories,ABT,"",3140866.0,371753000.0,0.4363,0.2753,36,1568700.0,99.77954,addition,0.1793815,Q1 2021,HEALTH CARE,13F,03/31/2022,127.8705,
Target corp.,TGT,"",1672320.0,354900000.0,0.4165,0.477,37,15600.0,0.94162,addition,0.3606498,Q1 2019,CONSUMER DISCRETIONARY,13F,03/31/2022,103.256,
Roku inc,ROKU,"",2808100.0,351771000.0,0.4128,0.0914,38,2486100.0,772.080745,addition,2.3430547,Q3 2020,INFORMATION TECHNOLOGY,13F,03/31/2022,137.8376,
Pepsico inc. (loft  inc.),PEP,"",1958643.0,327838000.0,0.3847,0.2466,39,817581.0,71.650883,addition,0.1416552,Q1 2021,CONSUMER STAPLES,13F,03/31/2022,156.9169,
Lowes companies  inc.,LOW,"",1586400.0,320754000.0,0.3764,0.0063,40,1566700.0,7952.791878,addition,0.2482129,Q3 2018,CONSUMER DISCRETIONARY,13F,03/31/2022,202.0718,
Fortinet inc,FTNT,"",4688945.0,320480000.0,0.3761,0.4528,41,-375000.0,-7.405294,reduction,0.5841935,Q3 2015,INFORMATION TECHNOLOGY,13F,03/31/2022,69.63,
Alcoa corp,AA,"",3539596.0,318670000.0,0.374,,42,3539596.0,,new,1.9190139,Q4 2016,MATERIALS,13F,03/31/2022,90.03,
Coca cola co.,KO,"",5052156.0,313234000.0,0.3676,0.723,43,-4762950.0,-48.52673,reduction,0.1165426,Q1 2021,CONSUMER STAPLES,13F,03/31/2022,53.35,
Pfizer  inc.,PFE,"",6011941.0,311238000.0,0.3652,,44,6011941.0,,new,0.1071476,Q2 2021,HEALTH CARE,13F,03/31/2022,51.77,
Icon plc ads,ICLR,"",1276958.0,310582000.0,0.3645,0.5463,45,-140800.0,-9.931173,reduction,1.6044202,Q1 2013,HEALTH CARE,13F,03/31/2022,106.56,
Astrazeneca plc,AZN,"",4561828.0,302632000.0,0.3551,0.4217,46,-1257000.0,-21.602288,reduction,0.1472108,Q1 2001,HEALTH CARE,13F,03/31/2022,60.02,
General mills co.,GIS,"",4431688.0,300114000.0,0.3522,0.3605,47,131500.0,3.058006,addition,0.7421293,Q3 2016,CONSUMER STAPLES,13F,03/31/2022,55.5618,
Novartis ag ads,NVS,"",3381170.0,296698000.0,0.3482,0.4056,48,-346400.0,-9.292917,reduction,0.1406640,Q3 2013,HEALTH CARE,13F,03/31/2022,81.12,
Zim integrated shipping services ltd,ZIM,"",4062538.0,295387000.0,0.3466,0.1115,49,2540500.0,166.914361,addition,3.3869331,Q2 2021,TRANSPORTS,13F,03/31/2022,64.0293,
Charter communications inc,CHTR,"",541400.0,295345000.0,0.3466,0.078,50,445200.0,462.785863,addition,0.3225340,Q4 2021,COMMUNICATIONS,13F,03/31/2022,564.4348,
Pinterest inc,PINS,"",11515600.0,283399000.0,0.3326,0.1436,51,8341222.0,262.767131,addition,2.0037579,Q4 2020,COMMUNICATIONS,13F,03/31/2022,32.2706,
Activision blizzard inc,ATVI,"",3515598.0,281635000.0,0.3305,,52,3515598.0,,new,0.4496331,Q1 2020,INFORMATION TECHNOLOGY,13F,03/31/2022,80.11,
Bank of america corp. (north carolina national bank),BAC,"",6800366.0,280311000.0,0.329,0.2917,53,1530300.0,29.037587,addition,0.0844044,Q4 2021,FINANCE,13F,03/31/2022,43.7541,
Union pacific corp.,UNP,"",1018299.0,278209000.0,0.3265,0.1708,54,473299.0,86.843853,addition,0.1621430,Q1 2019,TRANSPORTS,13F,03/31/2022,232.5129,
Qualcomm inc.,QCOM,"",1789760.0,273511000.0,0.321,0.0935,55,1378786.0,335.49227,addition,0.1590782,Q3 2019,INFORMATION TECHNOLOGY,13F,03/31/2022,147.5593,
F5 networks inc,FFIV,"",1256562.0,262559000.0,0.3081,0.4144,56,-104500.0,-7.677828,reduction,2.0779228,Q3 2011,INFORMATION TECHNOLOGY,13F,03/31/2022,136.6,
Cboe global markets inc,CBOE,"",2274724.0,260274000.0,0.3054,0.3749,57,-36100.0,-1.562213,reduction,2.1421552,Q2 2011,FINANCE,13F,03/31/2022,58.35,
Petroleo brasileiro sa (petrobras) adr,PBR,"",16782600.0,248382000.0,0.2915,0.1234,58,7748500.0,85.769473,addition,0.4510099,Q2 2016,ENERGY,13F,03/31/2022,12.7437,
Philip morris international inc,PM,"",2632467.0,247294000.0,0.2902,0.1402,59,1446567.0,121.980521,addition,0.1698245,Q1 2021,CONSUMER STAPLES,13F,03/31/2022,94.3905,
Herbalife nutrition ltd,HLF,"",8118864.0,246489000.0,0.2893,0.4275,60,-275700.0,-3.284268,reduction,7.4927676,Q3 2015,HEALTH CARE,13F,03/31/2022,46.93,
Carrier global corp.,CARR,"",5306931.0,243429000.0,0.2857,0.1585,61,2958400.0,125.968105,addition,0.6256390,Q2 2020,INDUSTRIALS,13F,03/31/2022,40.5153,
Danaher corp.,DHR,"",818436.0,240072000.0,0.2817,0.1813,62,375400.0,84.733521,addition,0.1125653,Q3 2020,HEALTH CARE,13F,03/31/2022,312.6443,
Csx corp,CSX,"",6378400.0,238871000.0,0.2803,0.3059,63,-161473.0,-2.469054,reduction,0.2933596,Q2 2018,TRANSPORTS,13F,03/31/2022,32.21,
Jazz pharmaceuticals plc,JAZZ,"",1517309.0,236199000.0,0.2772,0.2695,64,-183200.0,-10.773245,reduction,2.4299281,Q2 2015,HEALTH CARE,13F,03/31/2022,136.03,
Procter & gamble co. (oh) (1905),PG,"",1505318.0,230013000.0,0.2699,0.289,65,85200.0,5.999501,addition,0.0627400,Q1 2020,CONSUMER STAPLES,13F,03/31/2022,138.2622,
Barrick gold corp,GOLD,"",9355036.0,229482000.0,0.2693,0.1799,66,1743000.0,22.897947,addition,0.5267902,Q2 2014,MATERIALS,13F,03/31/2022,19.0132,
Comcast corp.  class a,CMCSA,"",4754976.0,222628000.0,0.2613,0.0468,67,4007100.0,535.797378,addition,0.1063617,Q4 2021,COMMUNICATIONS,13F,03/31/2022,47.3721,
Cerner corp.,CERN,"",2367304.0,221485000.0,0.2599,0.0081,68,2297500.0,3291.358661,addition,0.8070171,Q1 2021,HEALTH CARE,13F,03/31/2022,92.9207,
Eqt corporation (equitable gas co.),EQT,"",6424264.0,221059000.0,0.2594,0.0028,69,6319457.0,6029.61348,addition,1.7384691,Q4 2021,UTILITIES AND TELECOMMUNICATIONS,13F,03/31/2022,34.2044,
Biogen inc,BIIB,"",1044207.0,219910000.0,0.2581,0.3205,70,-29600.0,-2.756547,reduction,0.7130028,Q2 2010,HEALTH CARE,13F,03/31/2022,256.08,
Horizon therapeutics plc,HZNP,"",2025766.0,213131000.0,0.2501,0.3053,71,-251300.0,-11.036132,reduction,0.8812120,Q2 2017,HEALTH CARE,13F,03/31/2022,20.93,
Roblox corp. class a,RBLX,"",4437282.0,205180000.0,0.2408,0.693,72,-962209.0,-17.820365,reduction,0.8189040,Q2 2021,INFORMATION TECHNOLOGY,13F,03/31/2022,103.15,
3m co. (minnesota mining & manufacturing),MMM,"",1356600.0,201971000.0,0.237,0.0151,73,1288400.0,1889.14956,addition,0.2383936,Q2 2020,INDUSTRIALS,13F,03/31/2022,150.2142,
Coinbase global inc,COIN,"",1052000.0,199733000.0,0.2344,0.4202,74,-286300.0,-21.392812,reduction,0.6059585,Q4 2021,INFORMATION TECHNOLOGY,13F,03/31/2022,252.37,
Altria group  inc. (philip morris),MO,"",3771516.0,197062000.0,0.2313,0.1355,75,1472800.0,64.070551,addition,0.2083069,Q2 2018,CONSUMER STAPLES,13F,03/31/2022,44.1864,
Regeneron pharmaceuticals inc.,REGN,"",279862.0,195461000.0,0.2294,0.2223,76,-3100.0,-1.095553,reduction,0.2590642,Q4 2015,HEALTH CARE,13F,03/31/2022,622.09,
Agnico-eagle mines  ltd,AEM,"",3177087.0,194565000.0,0.2283,0.1752,77,527472.0,19.907496,addition,0.6969461,Q4 2011,MATERIALS,13F,03/31/2022,50.0647,
Bristol-myers squibb co,BMY,"",2633332.0,192312000.0,0.2257,0.391,78,-2407454.0,-47.759496,reduction,0.1236849,Q2 2016,HEALTH CARE,13F,03/31/2022,56.94,
Twilio inc,TWLO,"",1163695.0,191789000.0,0.2251,0.0522,79,1004500.0,630.987154,addition,0.6771107,Q1 2020,INFORMATION TECHNOLOGY,13F,03/31/2022,185.9102,
Dropbox inc,DBX,"",8209733.0,190876000.0,0.224,0.2579,80,-236600.0,-2.801216,reduction,2.8019907,Q1 2019,INFORMATION TECHNOLOGY,13F,03/31/2022,22.26,
Mondelez international inc. (kraft foods),MDLZ,"",3035298.0,190556000.0,0.2236,0.0291,81,2682000.0,759.132517,addition,0.2193255,Q1 2016,CONSUMER STAPLES,13F,03/31/2022,62.4483,
Starbucks corp.,SBUX,"",2091567.0,190270000.0,0.2233,,82,2091567.0,,new,0.1823670,Q3 2021,CONSUMER DISCRETIONARY,13F,03/31/2022,90.97,
Sprouts farmers market inc,SFM,"",5898332.0,188629000.0,0.2214,0.2131,83,128000.0,2.218243,addition,5.3805692,Q1 2014,CONSUMER DISCRETIONARY,13F,03/31/2022,21.5318,
Clorox co.,CLX,"",1355130.0,188404000.0,0.2211,0.2792,84,68000.0,5.283072,addition,1.1010157,Q4 2011,CONSUMER STAPLES,13F,03/31/2022,171.6373,
Blackrock inc. class a,BLK,"",245400.0,187527000.0,0.2201,,85,245400.0,,new,0.1619767,Q1 2022,FINANCE,13F,03/31/2022,764.17,
First republic bank (ca),FRC,"",1151300.0,186626000.0,0.219,0.113,86,711300.0,161.659091,addition,0.6408686,Q4 2021,FINANCE,13F,03/31/2022,179.0725,
Duke energy corp.,DUK,"",1662282.0,185610000.0,0.2178,0.228,87,-84403.0,-4.832182,reduction,0.2159087,Q1 2014,UTILITIES AND TELECOMMUNICATIONS,13F,03/31/2022,97.35,
Fortis inc,FTS,"",3674861.0,181906000.0,0.2135,0.2074,88,221000.0,6.398636,addition,0.7702089,Q4 2016,UTILITIES AND TELECOMMUNICATIONS,13F,03/31/2022,38.9266,
Linde plc (praxair inc.),LIN,"",558500.0,178402000.0,0.2094,0.0858,89,359480.0,180.625063,addition,0.1110946,Q4 2015,MATERIALS,13F,03/31/2022,329.0514,
National beverage corp,FIZZ,"",4093544.0,178069000.0,0.209,0.2393,90,-149400.0,-3.52114,reduction,4.3857092,Q2 2006,CONSUMER STAPLES,13F,03/31/2022,69.96,
Phillips 66,PSX,"",2053650.0,177415000.0,0.2082,0.1231,91,687650.0,50.34041,addition,0.4268655,Q3 2021,ENERGY,13F,03/31/2022,76.3195,
Snowflake  inc.,SNOW,"",770300.0,176499000.0,0.2071,,92,770300.0,,new,0.2421691,Q2 2021,INFORMATION TECHNOLOGY,13F,03/31/2022,229.13,
Corcept therapeutics inc,CORT,"",7770516.0,174992000.0,0.2054,0.1976,93,-253100.0,-3.154438,reduction,7.3133775,Q1 2015,HEALTH CARE,13F,03/31/2022,13.52,
Zoetis  inc.,ZTS,"",922274.0,173932000.0,0.2041,0.0609,94,721600.0,359.588188,addition,0.1959664,Q4 2014,HEALTH CARE,13F,03/31/2022,187.3563,
Virtu financial inc,VIRT,"",4632407.0,172418000.0,0.2023,0.1721,95,-166700.0,-3.473563,reduction,4.3977356,Q1 2020,FINANCE,13F,03/31/2022,24.4,
Palantir technologies inc.,PLTR,"",12514847.0,171829000.0,0.2016,0.332,96,-2141164.0,-14.60946,reduction,0.6428729,Q2 2021,INFORMATION TECHNOLOGY,13F,03/31/2022,23.49,
Air products & chemicals inc,APD,"",680700.0,170114000.0,0.1996,0.2214,97,95800.0,16.378868,addition,0.3069350,Q2 2021,MATERIALS,13F,03/31/2022,281.9089,
Rogers communications inc. class b (nyse),RCI,"",2970869.0,168597000.0,0.1979,0.1797,98,-61800.0,-2.037809,reduction,0.7544618,Q4 2011,COMMUNICATIONS,13F,03/31/2022,46.64,
Zscaler inc,ZS,"",697800.0,168365000.0,0.1976,,99,697800.0,,new,0.4918841,Q2 2020,INFORMATION TECHNOLOGY,13F,03/31/2022,241.28,
Keurig dr pepper inc,KDP,"",4430761.0,167926000.0,0.1971,0.1987,100,97700.0,2.254757,addition,0.3123451,Q1 2013,CONSUMER STAPLES,13F,03/31/2022,30.096,
Agilent technologies inc,A,"",1242600.0,164433000.0,0.193,0.0833,101,823300.0,196.351061,addition,0.4159915,Q3 2021,INFORMATION TECHNOLOGY,13F,03/31/2022,141.235,
Lockheed martin corp.,LMT,"",369500.0,163097000.0,0.1914,0.0238,102,315700.0,586.802974,addition,0.1388539,Q1 2018,INDUSTRIALS,13F,03/31/2022,429.43,
Cloudflare inc,NET,"",1339500.0,160338000.0,0.1882,0.1351,103,513800.0,62.22599,addition,0.4762347,Q1 2020,INFORMATION TECHNOLOGY,13F,03/31/2022,123.7807,
Ecolab inc.,ECL,"",904997.0,159786000.0,0.1875,0.0499,104,734000.0,429.247297,addition,0.3168145,Q2 2021,MATERIALS,13F,03/31/2022,187.5246,
United parcel service  inc. class b,UPS,"",725500.0,155591000.0,0.1826,0.3103,105,-438323.0,-37.662342,reduction,0.0987831,Q1 2021,TRANSPORTS,13F,03/31/2022,198.82,
Jpmorgan chase & co. (chemical bank),JPM,"",1140386.0,155457000.0,0.1824,0.6583,106,-2201100.0,-65.871891,reduction,0.0388276,Q2 2021,FINANCE,13F,03/31/2022,158.18,
Visa inc,V,"",700100.0,155261000.0,0.1822,0.1093,107,294700.0,72.693636,addition,0.0425407,Q3 2013,FINANCE,13F,03/31/2022,217.1317,
Chunghwa telecom co. ltd adr,CHT,"",3491869.0,155214000.0,0.1821,0.1869,108,-67900.0,-1.907427,reduction,0.4501312,Q1 2011,UTILITIES AND TELECOMMUNICATIONS,13F,03/31/2022,32.93,
Quest diagnostics  inc.,DGX,"",1131900.0,154912000.0,0.1818,0.2836,109,-185800.0,-14.100326,reduction,0.9644270,Q4 2016,HEALTH CARE,13F,03/31/2022,148.87,
Flowers foods,FLO,"",5999785.0,154254000.0,0.181,0.1896,110,450441.0,8.117013,addition,2.8295213,Q2 2017,CONSUMER STAPLES,13F,03/31/2022,21.8346,
Abbvie inc,ABBV,"",923303.0,149677000.0,0.1757,0.3459,111,-1130274.0,-55.03928,reduction,0.0522493,Q1 2013,HEALTH CARE,13F,03/31/2022,100.03,
Newmont mining corp. (holding co.),NEM,"",1875675.0,149022000.0,0.1749,0.1605,112,-204800.0,-9.843906,reduction,0.2363349,Q3 2014,MATERIALS,13F,03/31/2022,46.42,
Cable one inc,CABO,"",101700.0,148913000.0,0.1748,0.2431,113,-9100.0,-8.212996,reduction,1.6970404,Q4 2015,CONSUMER DISCRETIONARY,13F,03/31/2022,847.98,
Campbell soup co.,CPB,"",3306268.0,147360000.0,0.1729,0.1705,114,153741.0,4.876754,addition,1.0999788,Q1 2019,CONSUMER STAPLES,13F,03/31/2022,46.9251,
B2gold corp,BTG,"",32070755.0,147205000.0,0.1728,0.1622,115,-1094700.0,-3.300724,reduction,3.0354075,Q3 2015,MATERIALS,13F,03/31/2022,2.95,
Corvel corp.,CRVL,"",867510.0,146123000.0,0.1715,0.2335,116,-34700.0,-3.846111,reduction,4.9437758,Q1 2006,HEALTH CARE,13F,03/31/2022,27.26,
Public storage  inc.,PSA,"",374314.0,146087000.0,0.1714,0.2286,117,-116294.0,-23.704057,reduction,0.2132492,Q2 2016,REAL ESTATE,13F,03/31/2022,243.13,
Kinross gold corp. adr,KGC,"",24604758.0,144676000.0,0.1698,0.1804,118,-358016.0,-1.4342,reduction,1.8928473,Q1 2013,MATERIALS,13F,03/31/2022,3.57,
Cogent communications group inc,CCOI,"",2164356.0,143605000.0,0.1685,0.1983,119,-14000.0,-0.642687,reduction,4.5151562,Q3 2011,COMMUNICATIONS,13F,03/31/2022,41.02,
Allison transmission holdings inc,ALSN,"",3651319.0,143351000.0,0.1682,0.172,120,-152800.0,-4.016699,reduction,3.7617394,Q3 2013,CONSUMER DISCRETIONARY,13F,03/31/2022,42.88,
New york times co. class a,NYT,"",3124642.0,143234000.0,0.1681,0.1816,121,102100.0,3.377951,addition,1.8744152,Q1 2013,COMMUNICATIONS,13F,03/31/2022,31.688,
Hormel foods corp.,HRL,"",2764663.0,142491000.0,0.1672,0.1062,122,1016300.0,58.128661,addition,0.5062970,Q1 2019,CONSUMER STAPLES,13F,03/31/2022,47.8595,
Pacira biosciences inc,PCRX,"",1860997.0,142031000.0,0.1667,0.1384,123,11800.0,0.638115,addition,4.0957967,Q3 2018,HEALTH CARE,13F,03/31/2022,41.4525,
P.t. telekomunikasi indonesia adr,TLK,"",4433614.0,141654000.0,0.1662,0.1629,124,-83000.0,-1.83766,reduction,0.4475585,Q4 2014,UTILITIES AND TELECOMMUNICATIONS,13F,03/31/2022,26.65,
Valero energy corp.,VLO,"",1374688.0,139586000.0,0.1638,0.0775,125,545185.0,65.724295,addition,0.3368537,Q3 2019,ENERGY,13F,03/31/2022,84.3609,
Shell plc,SHEL,"",2468486.0,135594000.0,0.1591,0.1023,126,573620.0,30.272325,addition,0.0671951,Q1 2021,ENERGY,13F,03/31/2022,43.6459,
Kkr & co. inc,KKR,"",2316350.0,135437000.0,0.1589,,127,2316350.0,,new,No Data,Q4 2019,FINANCE,13F,03/31/2022,58.47,
Boeing company,BA,"",707200.0,135429000.0,0.1589,,128,707200.0,,new,0.1195330,Q3 2021,INDUSTRIALS,13F,03/31/2022,191.5,
Chevron corp. (standard oil of california),CVX,"",825820.0,134468000.0,0.1578,0.475,129,-2428075.0,-74.62057,reduction,0.0420305,Q4 2017,ENERGY,13F,03/31/2022,102.48,
Petroleo brasileiro sa petrobras class a adr,PBR.A,"",9539000.0,133355000.0,0.1565,0.1358,130,-1256400.0,-11.63829,reduction,0.3405543,Q2 2018,ENERGY,13F,03/31/2022,11.72,
Wheaton precious metals corp,WPM,"",2787718.0,132641000.0,0.1557,0.105,131,821061.0,41.74907,addition,0.6174703,Q3 2016,MATERIALS,13F,03/31/2022,35.1425,
Firstservice corp,FSV,"",909980.0,131837000.0,0.1547,0.2038,132,76192.0,9.138054,addition,2.0597321,Q2 2015,REAL ESTATE,13F,03/31/2022,57.3212,
Wec energy group (wisconsin electric power),WEC,"",1320077.0,131757000.0,0.1546,0.024,133,1121075.0,563.34861,addition,0.4184948,Q2 2021,UTILITIES AND TELECOMMUNICATIONS,13F,03/31/2022,98.1065,
Medifast inc,MED,"",771310.0,131724000.0,0.1546,0.2078,134,-26300.0,-3.297351,reduction,6.6990885,Q3 2010,CONSUMER STAPLES,13F,03/31/2022,66.54,
Smucker (j.m.) co.,SJM,"",953976.0,129178000.0,0.1516,0.1456,135,92400.0,10.724533,addition,0.8795778,Q2 2019,CONSUMER STAPLES,13F,03/31/2022,112.2625,
Alkermes plc.,ALKS,"",4868013.0,128077000.0,0.1503,0.1392,136,57068.0,1.186212,addition,2.9787090,Q4 2018,HEALTH CARE,13F,03/31/2022,23.3847,
Nu skin enterprises inc. class a,NUS,"",2670996.0,127887000.0,0.1501,0.1649,137,58600.0,2.243151,addition,5.3198372,Q4 2017,CONSUMER STAPLES,13F,03/31/2022,50.7751,
Cheniere energy inc,LNG,"",917448.0,127204000.0,0.1493,0.1151,138,5500.0,0.603105,addition,0.3610024,Q1 2021,ENERGY,13F,03/31/2022,86.9021,
Ubiquiti inc,UI,"",426682.0,124233000.0,0.1458,0.1852,139,-58600.0,-12.075453,reduction,0.7062124,Q1 2016,INFORMATION TECHNOLOGY,13F,03/31/2022,119.07,
Commvault systems inc,CVLT,"",1823687.0,121002000.0,0.142,0.1586,140,-25600.0,-1.384317,reduction,4.0674705,Q3 2010,INFORMATION TECHNOLOGY,13F,03/31/2022,47.79,
Cbre group inc common stock class a,CBRE,"",1320100.0,120816000.0,0.1418,0.0712,141,792717.0,150.311443,addition,0.4038725,Q1 2021,REAL ESTATE,13F,03/31/2022,96.1343,
Oreilly automotive inc.,ORLY,"",176294.0,120754000.0,0.1417,0.2705,142,-131563.0,-42.735101,reduction,0.2682280,Q4 2019,CONSUMER DISCRETIONARY,13F,03/31/2022,545.81,
Neurocrine biosciences inc.,NBIX,"",1280123.0,120012000.0,0.1408,0.1508,143,-143541.0,-10.082505,reduction,1.3393678,Q4 2018,HEALTH CARE,13F,03/31/2022,106.92,
Southern co.,SO,"",1651211.0,119729000.0,0.1405,0.2623,144,-1422800.0,-46.284805,reduction,0.1554045,Q3 2014,UTILITIES AND TELECOMMUNICATIONS,13F,03/31/2022,61.73,
Itau unibnco adr,ITUB,"",20872374.0,119181000.0,0.1399,0.0282,145,14818000.0,244.748673,addition,0.4307272,Q2 2020,FINANCE,13F,03/31/2022,5.1415,
Cosan sa,CSAN,"",5934882.0,117511000.0,0.1379,0.1192,146,-177100.0,-2.897587,reduction,1.2667358,Q1 2021,ENERGY,13F,03/31/2022,16.15,
