Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price,Recent Price
Idexx laboratories inc.,IDXX,"",139441.0,76283000.0,0.3075,0.3968,59,35770.0,34.503381,addition,0.1659869,Q3 2019,HEALTH CARE,13F,03/31/2022,556.6731,
Dexcom inc,DXCM,"",580964.0,74305000.0,0.2995,0.3325,60,154828.0,36.333002,addition,0.1480149,Q3 2020,HEALTH CARE,13F,03/31/2022,450.2649,
Raytheon technologies corp. (united technologies),RTX,"",748866.0,74190000.0,0.2991,0.0932,61,562634.0,302.114567,addition,0.0503536,Q4 2021,INDUSTRIALS,13F,03/31/2022,95.8346,
Baxter international inc.,BAX,"",948766.0,73567000.0,0.2966,0.3259,62,295605.0,45.257601,addition,0.1884234,Q1 2020,HEALTH CARE,13F,03/31/2022,80.335,
Beigene ltd adr,BGNE,"",383818.0,72388000.0,0.2918,0.3614,63,154335.0,67.253348,addition,0.3712185,Q4 2020,HEALTH CARE,13F,03/31/2022,271.6536,
Accenture plc,ACN,"",211086.0,71185000.0,0.287,0.2196,64,119970.0,131.667325,addition,0.0317810,Q3 2021,INFORMATION TECHNOLOGY,13F,03/31/2022,363.0558,
Lilly (eli) & co.,LLY,"",247346.0,70832000.0,0.2855,0.1977,65,124227.0,100.899942,addition,0.0260320,Q2 2021,HEALTH CARE,13F,03/31/2022,272.6866,
Chevron corp. (standard oil of california),CVX,"",434365.0,70728000.0,0.2851,0.0034,66,429308.0,8489.381056,addition,0.0221072,Q3 2021,ENERGY,13F,03/31/2022,162.2215,
Brown-forman corp. class b,BF.B,"",1055285.0,70725000.0,0.2851,0.3027,67,340532.0,47.643312,addition,0.3405481,Q1 2020,CONSUMER STAPLES,13F,03/31/2022,72.9803,
Church & dwight co.  inc.,CHD,"",710060.0,70566000.0,0.2845,0.3201,68,172787.0,32.160001,addition,0.2924812,Q1 2020,CONSUMER STAPLES,13F,03/31/2022,91.4502,
Yum china holdings inc,YUMC,"",1624759.0,67492000.0,0.2721,0.3153,69,536447.0,49.291655,addition,0.3834744,Q2 2018,CONSUMER DISCRETIONARY,13F,03/31/2022,48.821,
Resmed inc.,RMD,"",270790.0,65669000.0,0.2647,0.2838,70,83388.0,44.496857,addition,0.1851117,Q1 2020,HEALTH CARE,13F,03/31/2022,229.1464,
Cerner corp.,CERN,"",701671.0,65648000.0,0.2646,0.3315,71,87665.0,14.277548,addition,0.2392006,Q1 2020,HEALTH CARE,13F,03/31/2022,78.8152,
Ishares mbs etf-,MBB,"",644100.0,65614000.0,0.2645,,72,644100.0,,new,No Data,Q1 2022,FINANCE,13F,03/31/2022,101.87,
Jpmorgan chase & co. (chemical bank),JPM,"",479460.0,65360000.0,0.2635,0.2421,73,216411.0,82.270223,addition,0.0163245,Q4 2020,FINANCE,13F,03/31/2022,137.5654,
Merck & co,MRK,"",784070.0,64333000.0,0.2593,0.1739,74,393728.0,100.867444,addition,0.0310056,Q2 2021,HEALTH CARE,13F,03/31/2022,79.3318,
Xpeng inc.,XPEV,"",2153216.0,59407000.0,0.2395,0.3131,75,1083108.0,101.214831,addition,0.3285354,Q3 2020,CONSUMER DISCRETIONARY,13F,03/31/2022,32.6841,
Philip morris international inc,PM,"",627451.0,58943000.0,0.2376,0.1452,76,364558.0,138.671627,addition,0.0404778,Q3 2021,CONSUMER STAPLES,13F,03/31/2022,94.359,
Comcast corp.  class a,CMCSA,"",1257315.0,58867000.0,0.2373,0.0679,77,1025212.0,441.705622,addition,0.0281243,Q1 2021,COMMUNICATIONS,13F,03/31/2022,47.5104,
Trip.com group ltd,TCOM,"",2524024.0,58355000.0,0.2352,0.2344,78,886068.0,54.095959,addition,0.3933006,Q2 2018,CONSUMER DISCRETIONARY,13F,03/31/2022,26.9358,
Bristol-myers squibb co,BMY,"",792736.0,57894000.0,0.2334,0.1143,79,477281.0,151.299234,addition,0.0372340,Q1 2021,HEALTH CARE,13F,03/31/2022,68.7045,
Bank of america corp. (north carolina national bank),BAC,"",1369880.0,56466000.0,0.2276,0.2527,80,392783.0,40.198977,addition,0.0170026,Q4 2020,FINANCE,13F,03/31/2022,36.5053,
Zimmer biomet holdings inc,ZBH,"",413910.0,52939000.0,0.2134,0.1946,81,142529.72,52.520294,addition,0.1974975,Q1 2020,HEALTH CARE,13F,03/31/2022,138.0212,
Kellogg co.,K,"",814622.0,52535000.0,0.2118,0.2158,82,238358.0,41.362639,addition,0.2411033,Q1 2020,CONSUMER STAPLES,13F,03/31/2022,63.8887,
Restaurant brands international inc,QSR,"",882707.0,51616000.0,0.2081,0.0677,83,690887.0,360.174643,addition,0.2875224,Q2 2017,CONSUMER DISCRETIONARY,13F,03/31/2022,58.6942,
Honeywell international inc. (allied chemical and dye - allied signal),HON,"",262200.0,51019000.0,0.2057,0.125,84,159103.0,154.323598,addition,0.0385173,Q3 2021,INDUSTRIALS,13F,03/31/2022,200.1674,
Cisco systems  inc.,CSCO,"",914218.0,50977000.0,0.2055,0.0026,85,907296.0,13107.4256,addition,0.0220774,Q4 2020,INFORMATION TECHNOLOGY,13F,03/31/2022,55.7367,
Chubb limited,CB,"",236037.0,50488000.0,0.2035,0.0615,86,181295.0,331.180812,addition,0.0557070,Q4 2021,FINANCE,13F,03/31/2022,209.1247,
Align technology inc,ALGN,"",115638.0,50418000.0,0.2032,0.3107,87,34311.0,42.188941,addition,0.1467384,Q3 2020,HEALTH CARE,13F,03/31/2022,494.6122,
Lufax holding ltd ads,LU,"",8977303.0,50004000.0,0.2016,0.1992,88,2890352.0,47.484397,addition,0.3927401,Q4 2020,COMMUNICATIONS,13F,03/31/2022,8.3432,
Intel corp.,INTC,"",994313.0,49278000.0,0.1986,0.0015,89,989188.0,19301.229268,addition,0.0243168,Q2 2021,INFORMATION TECHNOLOGY,13F,03/31/2022,49.57,
International business machines corp.,IBM,"",376153.0,48907000.0,0.1971,0.0538,90,306854.0,442.797154,addition,0.0418210,Q4 2021,INFORMATION TECHNOLOGY,13F,03/31/2022,130.6906,
At&t inc. (southwestern bell - sbc corp.),T,"",2710404.09,48374000.0,0.195,0.0357,91,2379854.25,719.968356,addition,0.0285952,Q2 2021,UTILITIES AND TELECOMMUNICATIONS,13F,03/31/2022,3.0327,
Mondelez international inc. (kraft foods),MDLZ,"",769400.0,48303000.0,0.1947,0.0679,92,593364.0,337.06969,addition,0.0555956,Q4 2021,CONSUMER STAPLES,13F,03/31/2022,63.5877,
Darden restaurants inc,DRI,"",357769.0,47565000.0,0.1917,0.2372,93,86929.0,32.096071,addition,0.2868248,Q4 2018,CONSUMER DISCRETIONARY,13F,03/31/2022,129.4374,
Zto express cayman inc adr,ZTO,"",1890349.0,47259000.0,0.1905,0.2041,94,646490.0,51.974541,addition,0.3131619,Q3 2019,INDUSTRIALS,13F,03/31/2022,29.3297,
Freeport-mcmoran copper & gold  inc,FCX,"",930912.0,46304000.0,0.1867,0.0049,95,910878.0,4546.660677,addition,0.0642335,Q4 2019,MATERIALS,13F,03/31/2022,49.5676,
Vanguard developed markets index fund-etf shares,VEA,"",938041.0,45054000.0,0.1816,0.3037,96,-85024.0,-8.310713,reduction,No Data,Q2 2017,FINANCE,13F,03/31/2022,41.37,
Hormel foods corp.,HRL,"",873384.0,45014000.0,0.1815,0.1776,97,247605.0,39.567483,addition,0.1599442,Q1 2020,CONSUMER STAPLES,13F,03/31/2022,48.545,
American tower corp.  class a,AMT,"",177471.0,44584000.0,0.1797,0.114,98,110439.0,164.755639,addition,0.0388894,Q3 2021,UTILITIES AND TELECOMMUNICATIONS,13F,03/31/2022,264.5379,
Micron technology  inc.,MU,"",559314.0,43565000.0,0.1756,0.0016,99,556346.0,18744.811321,addition,0.0507018,Q1 2017,INFORMATION TECHNOLOGY,13F,03/31/2022,77.971,
Ishares msci eafe etf,EFA,"",591264.0,43517000.0,0.1754,0.2949,100,-53588.0,-8.310124,reduction,No Data,Q2 2017,FINANCE,13F,03/31/2022,65.22,
Newmont mining corp. (holding co.),NEM,"",547308.0,43484000.0,0.1753,,101,547308.0,,new,0.0689608,Q1 2022,MATERIALS,13F,03/31/2022,79.45,
Clorox co.,CLX,"",312038.0,43383000.0,0.1749,0.2541,102,61386.0,24.490529,addition,0.2535246,Q1 2019,CONSUMER STAPLES,13F,03/31/2022,182.3345,
Ke holdings inc.,BEKE,"",3506077.0,43370000.0,0.1748,0.2643,103,1245969.0,55.128737,addition,0.2893339,Q3 2020,INFORMATION TECHNOLOGY,13F,03/31/2022,28.2085,
Qualcomm inc.,QCOM,"",282319.0,43144000.0,0.1739,0.0013,104,281068.0,22467.466027,addition,0.0250932,Q3 2020,INFORMATION TECHNOLOGY,13F,03/31/2022,152.9532,
Laboratory corp of america holdings,LH,"",160101.0,42212000.0,0.1702,0.2156,105,42076.0,35.650074,addition,0.1727087,Q1 2020,HEALTH CARE,13F,03/31/2022,253.4352,
T-mobile us inc,TMUS,"",314179.0,40325000.0,0.1626,0.0396,106,255417.0,434.663558,addition,0.0251486,Q4 2021,UTILITIES AND TELECOMMUNICATIONS,13F,03/31/2022,126.0364,
Btc ishares core msci eafe etf,IEFA,"",575305.0,39989000.0,0.1612,0.2723,107,-52163.0,-8.313253,reduction,No Data,Q2 2017,FINANCE,13F,03/31/2022,60.83,
Caterpillar inc.,CAT,"",175187.0,39035000.0,0.1574,,108,175187.0,,new,0.0328463,Q1 2022,INDUSTRIALS,13F,03/31/2022,222.82,
Wells fargo & co.  (northwest bancorporation),WFC,"",798998.0,38719000.0,0.1561,0.1989,109,85994.0,12.060802,addition,0.0210798,Q4 2020,FINANCE,13F,03/31/2022,37.7872,
General electric co,GE,"",422898.0,38695000.0,0.156,0.0021,110,419060.0,10918.70766,addition,0.0384220,Q1 2020,INDUSTRIALS,13F,03/31/2022,91.527,
Amerisourcebergen corp (holding co),ABC,"",248897.0,38507000.0,0.1552,0.1398,111,67892.0,37.508356,addition,0.1188256,Q3 2020,CONSUMER STAPLES,13F,03/31/2022,119.134,
Steris corp.,STE,"",159014.0,38445000.0,0.155,0.1737,112,36293.0,29.573586,addition,0.1588868,Q3 2020,HEALTH CARE,13F,03/31/2022,208.9161,
Southern copper corp.,SCCO,"",498298.0,37821000.0,0.1525,,113,498298.0,,new,0.0644554,Q1 2022,MATERIALS,13F,03/31/2022,75.9,
Smucker (j.m.) co.,SJM,"",276162.0,37395000.0,0.1507,0.1657,114,66307.0,31.596579,addition,0.2546248,Q1 2020,CONSUMER STAPLES,13F,03/31/2022,124.9234,
Ford motor co.,F,"",2199950.0,37201000.0,0.15,0.2068,115,486840.0,28.41849,addition,0.0557103,Q3 2019,CONSUMER DISCRETIONARY,13F,03/31/2022,13.8575,
Conocophillips (phillips petroleum),COP,"",368158.0,36816000.0,0.1484,0.0023,116,362744.0,6700.110824,addition,0.0284633,Q3 2021,ENERGY,13F,03/31/2022,99.5469,
Cooper companies (the),COO,"",86652.0,36185000.0,0.1459,0.1458,117,26775.0,44.716669,addition,0.1756347,Q1 2020,HEALTH CARE,13F,03/31/2022,391.2143,
Airbnb  inc.,ABNB,"",198143.0,34033000.0,0.1372,,118,198143.0,,new,0.0517844,Q1 2022,CONSUMER DISCRETIONARY,13F,03/31/2022,171.76,
Teleflex  inc.,TFX,"",94841.0,33652000.0,0.1357,0.0984,119,43328.0,84.110807,addition,0.2022194,Q4 2019,INDUSTRIALS,13F,03/31/2022,360.3973,
Marsh & mclennan companies  inc.,MMC,"",195565.0,33328000.0,0.1343,0.0856,120,110868.0,130.89956,addition,0.0389639,Q2 2021,FINANCE,13F,03/31/2022,168.9042,
Netease inc adr,NTES,"",370125.0,33197000.0,0.1338,0.2891,121,-118489.0,-24.250021,reduction,0.0563529,Q2 2018,COMMUNICATIONS,13F,03/31/2022,80.14,
Home depot  inc. (the),HD,"",108099.0,32357000.0,0.1304,0.5311,122,-112054.0,-50.898239,reduction,0.0105180,Q4 2019,CONSUMER DISCRETIONARY,13F,03/31/2022,318.62,
Cme group inc,CME,"",132401.0,31493000.0,0.127,,123,132401.0,,new,0.0368376,Q1 2022,FINANCE,13F,03/31/2022,237.86,
Air products & chemicals inc,APD,"",125746.0,31425000.0,0.1267,,124,125746.0,,new,0.0567002,Q1 2022,MATERIALS,13F,03/31/2022,249.91,
Eaton corp. (torbenson axle co. - eaton axle & spring),ETN,"",199639.0,30297000.0,0.1221,,125,199639.0,,new,0.0500348,Q1 2022,CONSUMER DISCRETIONARY,13F,03/31/2022,151.76,
Lyondellbasell industries nv,LYB,"",294635.0,30294000.0,0.1221,,126,294635.0,,new,0.0899314,Q1 2022,MATERIALS,13F,03/31/2022,102.82,
Public storage  inc.,PSA,"",77567.0,30273000.0,0.122,0.0345,127,61720.0,389.474348,addition,0.0441904,Q4 2021,REAL ESTATE,13F,03/31/2022,387.0684,
Hologic inc.,HOLX,"",392227.0,30131000.0,0.1215,0.1345,128,90017.0,29.786241,addition,0.1572803,Q3 2020,HEALTH CARE,13F,03/31/2022,71.1723,
Archer-daniels-midland co.,ADM,"",327376.0,29549000.0,0.1191,0.0302,129,250596.0,326.38187,addition,0.0581787,Q4 2021,CONSUMER STAPLES,13F,03/31/2022,84.9432,
Kanzhun ltd,BZ,"",1177610.0,29334000.0,0.1182,0.0549,130,906721.0,334.720494,addition,0.3230492,Q4 2021,INFORMATION TECHNOLOGY,13F,03/31/2022,27.2034,
Applied materials inc.,AMAT,"",221565.0,29202000.0,0.1177,,131,221565.0,,new,0.0254688,Q1 2022,INFORMATION TECHNOLOGY,13F,03/31/2022,131.8,
Molson coors brewing co,TAP,"",541468.0,28904000.0,0.1165,0.1044,132,153978.0,39.737284,addition,0.2700231,Q1 2020,CONSUMER STAPLES,13F,03/31/2022,47.884,
Walt disney co. (the),DIS,"",209577.0,28746000.0,0.1159,,133,209577.0,,new,0.0115112,Q1 2022,COMMUNICATIONS,13F,03/31/2022,137.16,
Teladoc health inc,TDOC,"",398322.0,28731000.0,0.1158,0.1609,134,96930.0,32.160774,addition,0.2471246,Q4 2020,HEALTH CARE,13F,03/31/2022,138.3751,
Lowes companies  inc.,LOW,"",141039.0,28517000.0,0.115,0.4735,135,-174087.0,-55.243617,reduction,0.0220674,Q3 2019,CONSUMER DISCRETIONARY,13F,03/31/2022,196.27,
Bilibili inc,BILI,"",1099588.0,28127000.0,0.1134,0.1995,136,359842.0,48.643994,addition,0.3583010,Q3 2020,COMMUNICATIONS,13F,03/31/2022,49.1531,
Trane technologies plc,TT,"",183477.0,28017000.0,0.1129,0.2657,137,-42799.0,-18.914511,reduction,0.0784558,Q4 2019,INDUSTRIALS,13F,03/31/2022,165.7,
Nextera energy inc.,NEE,"",330620.0,28007000.0,0.1129,,138,330620.0,,new,0.0168297,Q1 2022,UTILITIES AND TELECOMMUNICATIONS,13F,03/31/2022,84.71,
Gds holdings ltd adr,GDS,"",708456.0,27807000.0,0.1121,0.1305,139,232516.0,48.854057,addition,0.3890364,Q3 2018,COMMUNICATIONS,13F,03/31/2022,56.5824,
Insulet corp,PODD,"",103704.0,27626000.0,0.1114,0.1172,140,27950.0,36.895741,addition,0.1495595,Q2 2021,HEALTH CARE,13F,03/31/2022,271.3208,
Morgan stanley,MS,"",314602.0,27496000.0,0.1108,0.1823,141,-4832.0,-1.512676,reduction,0.0179846,Q4 2020,FINANCE,13F,03/31/2022,79.4,
Johnson controls international plc (tyco laboratories),JCI,"",412884.0,27073000.0,0.1091,0.3136,142,-250651.0,-37.775099,reduction,0.0593506,Q4 2019,INDUSTRIALS,13F,03/31/2022,62.9,
Dow inc,DOW,"",423204.0,26967000.0,0.1087,,143,423204.0,,new,0.0581243,Q1 2022,MATERIALS,13F,03/31/2022,63.72,
Charles schwab corp,SCHW,"",315103.0,26566000.0,0.1071,0.163,144,-18219.0,-5.465886,reduction,0.0173414,Q4 2020,FINANCE,13F,03/31/2022,65.45,
Amphenol corp. (1987),APH,"",348869.0,26287000.0,0.106,,145,348869.0,,new,0.0584235,Q1 2022,INFORMATION TECHNOLOGY,13F,03/31/2022,75.35,
Te connectivity ltd,TEL,"",191912.0,25137000.0,0.1013,,146,191912.0,,new,0.0595678,Q1 2022,INFORMATION TECHNOLOGY,13F,03/31/2022,130.98,
Lamb weston holdings inc,LW,"",416844.0,24973000.0,0.1007,0.1149,147,105028.0,33.682685,addition,0.2885794,Q1 2020,CONSUMER STAPLES,13F,03/31/2022,69.8365,
Dowdupont inc. (dow chemical),DD,"",337760.0,24852000.0,0.1002,0.1964,148,-80445.0,-19.235781,reduction,0.0664193,Q4 2019,MATERIALS,13F,03/31/2022,73.74,
Fortinet inc,FTNT,"",359130.0,24546000.0,0.0989,,149,359130.0,,new,0.0447438,Q1 2022,INFORMATION TECHNOLOGY,13F,03/31/2022,341.74,
