Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price,Recent Price
Nio inc note 0.500% 2/0,DEBT-NIO,PRN,69896000.0,57109000.0,0.86447,,28,69896000.0,,new,N/A,Q1 2022, ,13F,03/31/2022,,
Salesforce.com inc.,CRM,"",263300.0,55904000.0,0.84623,0.5461,29,106254.0,67.657884,addition,0.0264623,Q1 2021,INFORMATION TECHNOLOGY,13F,03/31/2022,235.355,
Ishares iboxx $ investment grade corporate bond etf-,LQD,"",406154.0,49120000.0,0.743539,1.0561,30,-176217.0,-30.258547,reduction,No Data,Q1 2020,FINANCE,13F,03/31/2022,133.72,
Nike inc.,NKE,"",296894.0,39950000.0,0.604731,0.2509,31,186894.0,169.903636,addition,0.0234003,Q4 2020,CONSUMER DISCRETIONARY,13F,03/31/2022,140.8771,
Accenture plc,ACN,"",115808.0,39054000.0,0.591168,0.2865,32,65308.0,129.322772,addition,0.0174360,Q2 2021,INFORMATION TECHNOLOGY,13F,03/31/2022,322.4255,
Royal caribbean group note 2.875%11/1,DEBT-ROYA,PRN,31657000.0,38508000.0,0.582903,0.514,33,0.0,0.0,,N/A,Q4 2021, ,13F,03/31/2022,,
The energy select sector spdr fund,XLE,PUT,500000.0,38220000.0,0.578544,,34,500000.0,,new,No Data,Q1 2022,ENERGY,13F,03/31/2022,,
T-mobile us inc,TMUS,"",284556.0,36523000.0,0.552856,0.461,35,-5911.0,-2.034999,reduction,0.0227774,Q1 2020,UTILITIES AND TELECOMMUNICATIONS,13F,03/31/2022,107.28,
Lpl financial holdings inc,LPLA,"",193831.0,35409000.0,0.535993,0.45,36,-11600.0,-5.646665,reduction,0.2423957,Q4 2017,FINANCE,13F,03/31/2022,62.59,
Freshworks inc,FRSH,"",1946617.0,34883000.0,0.528031,,37,1946617.0,,new,1.8338667,Q3 2021,INFORMATION TECHNOLOGY,13F,03/31/2022,17.92,
Spdr bloomberg barclays short term corporate bond etf,SPSB,"",1113000.0,33535000.0,0.507626,0.4717,38,0.0,0.0,,No Data,Q2 2020,FINANCE,13F,03/31/2022,31.34,
Etsy inc note 0.125%10/0,DEBT-ETSY,PRN,20500000.0,32962000.0,0.498952,,39,20500000.0,,new,N/A,Q1 2022, ,13F,03/31/2022,,
Take-two interactive software  inc.,TTWO,CALL,200000.0,30748000.0,0.465439,,40,200000.0,,new,N/A,Q1 2022,INFORMATION TECHNOLOGY,13F,03/31/2022,,
Intuit  inc.,INTU,"",61828.0,29729000.0,0.450014,0.1639,41,43203.0,231.962416,addition,0.0219188,Q3 2021,INFORMATION TECHNOLOGY,13F,03/31/2022,511.0513,
Aptiv plc,APTV,"",244866.0,29313000.0,0.443717,0.3536,42,88217.0,56.315074,addition,0.0903795,Q2 2020,INDUSTRIALS,13F,03/31/2022,120.8679,
Focus financial partners inc,FOCS,"",615611.0,28158000.0,0.426233,0.5031,43,0.0,0.0,,0.9418429,Q1 2020,FINANCE,13F,03/31/2022,33.4,
Nio inc note 2/0,DEBT-NIO,PRN,31900000.0,27254000.0,0.412549,,44,31900000.0,,new,N/A,Q1 2022, ,13F,03/31/2022,,
Ishares national muni bond etf-,MUB,"",241400.0,26467000.0,0.400636,0.3841,45,0.0,0.0,,No Data,Q1 2020,FINANCE,13F,03/31/2022,113.01,
Jpmorgan chase & co. (chemical bank),JPM,"",187499.0,25560000.0,0.386907,0.0284,46,174400.0,1331.399343,addition,0.0063839,Q3 2021,FINANCE,13F,03/31/2022,138.2321,
Analog devices inc,ADI,"",153529.0,25360000.0,0.383879,0.5013,47,-54874.0,-26.330715,reduction,0.0295358,Q4 2020,INFORMATION TECHNOLOGY,13F,03/31/2022,157.29,
Green plains inc note 2.250% 3/1,DEBT-GREE,PRN,19900000.0,24690000.0,0.373737,0.3654,48,0.0,0.0,,N/A,Q1 2021, ,13F,03/31/2022,,
Qualcomm inc.,QCOM,"",154238.0,23571000.0,0.356799,0.2888,49,38813.0,33.626164,addition,0.0137091,Q4 2020,INFORMATION TECHNOLOGY,13F,03/31/2022,152.805,
American airlines group inc,AAL,PUT,1250000.0,22813000.0,0.345325,,50,1250000.0,,new,N/A,Q1 2022,TRANSPORTS,13F,03/31/2022,,
Proterra inc,PTRA,"",2915201.0,21922000.0,0.331838,0.9636,51,-5059285.0,-63.443399,reduction,1.3072650,Q2 2021,FINANCE,13F,03/31/2022,16.88,
Elanco animal health inc,ELAN,"",825037.0,21525000.0,0.325828,0.8531,52,-1371699.0,-62.442597,reduction,0.1740231,Q4 2020,HEALTH CARE,13F,03/31/2022,30.93,
Acorda therapeutics inc note 6.000%12/0,DEBT-ACOR,PRN,28001000.0,21167000.0,0.320409,0.3104,53,0.0,0.0,,N/A,Q1 2021, ,13F,03/31/2022,,
Affirm holdings inc,AFRM,PUT,450000.0,20826000.0,0.315247,0.1376,54,350000.0,350.0,addition,N/A,Q4 2021,INFORMATION TECHNOLOGY,13F,03/31/2022,,
Etsy inc note 0.125% 9/0,DEBT-ETSY,PRN,20279000.0,20226000.0,0.306165,0.3727,55,0.0,0.0,,N/A,Q4 2021, ,13F,03/31/2022,,
Atlassian corp plc,TEAM,"",62479.0,18358000.0,0.277889,,56,62479.0,,new,0.0455029,Q1 2021,INFORMATION TECHNOLOGY,13F,03/31/2022,293.83,
Vonage hldgs corp note 1.750% 6/0,DEBT-VONA,PRN,13769000.0,18132000.0,0.274468,0.2517,57,0.0,0.0,,N/A,Q4 2021, ,13F,03/31/2022,,
Infinera corp,INFN,PRN,15933000.0,17865000.0,0.270426,0.2594,58,0.0,0.0,,N/A,Q3 2020,INFORMATION TECHNOLOGY,13F,03/31/2022,,
Snowflake  inc.,SNOW,"",77725.0,17809000.0,0.269578,0.0603,59,64725.0,497.884615,addition,0.0244354,Q1 2021,INFORMATION TECHNOLOGY,13F,03/31/2022,235.1378,
Infinera corp note 2.500% 3/0,DEBT-INFI,PRN,13000000.0,17772000.0,0.269018,0.2618,60,0.0,0.0,,N/A,Q1 2021, ,13F,03/31/2022,,
Wayfair inc note 0.625%10/0,DEBT-WAYF,PRN,21500000.0,17624000.0,0.266778,0.2377,61,2500000.0,13.157895,addition,N/A,Q3 2021, ,13F,03/31/2022,,
Confluent inc,CFLT,PUT,400000.0,16400000.0,0.24825,,62,400000.0,,new,N/A,Q1 2022,INFORMATION TECHNOLOGY,13F,03/31/2022,,
Opendoor technologies  inc.,OPEN,"",1857274.0,16065000.0,0.243179,0.6407,63,-1347246.0,-42.042053,reduction,0.2972820,Q1 2021,CONSUMER DISCRETIONARY,13F,03/31/2022,16.48,
Lumentum hldgs inc note 0.500%12/1,DEBT-LUME,PRN,13500000.0,15759000.0,0.238547,,64,13500000.0,,new,N/A,Q1 2022, ,13F,03/31/2022,,
Take-two interactive software  inc.,TTWO,PUT,100000.0,15374000.0,0.232719,,65,100000.0,,new,N/A,Q1 2022,INFORMATION TECHNOLOGY,13F,03/31/2022,,
Lucid group inc,LCID,"",600000.0,15240000.0,0.230691,,66,600000.0,,new,0.0359747,Q1 2022,CONSUMER DISCRETIONARY,13F,03/31/2022,25.4,
Tjx companies inc.,TJX,"",250000.0,15145000.0,0.229253,,67,250000.0,,new,0.0213377,Q1 2022,CONSUMER DISCRETIONARY,13F,03/31/2022,60.58,
Allegheny technologies inc note 3.500% 6/1,DEBT-ALLE,PRN,8000000.0,15052000.0,0.227845,0.1425,68,0.0,0.0,,N/A,Q3 2021, ,13F,03/31/2022,,
Mgm resorts international  inc.,MGM,"",350001.0,14679000.0,0.222199,,69,350001.0,,new,0.0821498,Q1 2022,CONSUMER DISCRETIONARY,13F,03/31/2022,41.94,
Didi global inc,DIDIY,"",5843965.0,14610000.0,0.221154,0.1852,70,3126245.0,115.031902,addition,0.1332810,Q2 2021,INFORMATION TECHNOLOGY,13F,03/31/2022,7.9132,
Airbnb  inc.,ABNB,"",83839.0,14400000.0,0.217976,0.0968,71,41339.0,97.268235,addition,0.0219112,Q2 2021,CONSUMER DISCRETIONARY,13F,03/31/2022,164.5211,
Bgc partners inc,BGCP,"",3117292.0,13716000.0,0.207622,0.1983,72,0.0,0.0,,0.9475536,Q1 2019,FINANCE,13F,03/31/2022,5.05,
Limelight networks inc note 3.500% 8/0,DEBT-LIME,PRN,12500000.0,13019000.0,0.197071,0.1624,73,0.0,0.0,,N/A,Q3 2021, ,13F,03/31/2022,,
Tpb acquisition corp i,TPBA,"",1312500.0,12758000.0,0.19312,0.176,74,0.0,0.0,,7.2769918,Q4 2021,FINANCE,13F,03/31/2022,9.8,
Eldorado resorts inc,CZR,"",162322.0,12557000.0,0.190078,0.2651,75,-44825.0,-21.639222,reduction,0.0757218,Q2 2020,CONSUMER DISCRETIONARY,13F,03/31/2022,63.54,
Toast inc,TOST,CALL,862070.0,12314000.0,0.186399,,76,862070.0,,new,N/A,Q1 2022,INFORMATION TECHNOLOGY,13F,03/31/2022,,
Eagle materials inc.,EXP,"",92450.0,11867000.0,0.179633,0.238,77,-12050.0,-11.5311,reduction,0.2426556,Q2 2021,MATERIALS,13F,03/31/2022,138.11,
Starry group holdings inc,STRY,"",1419431.0,11725000.0,0.177484,,78,1419431.0,,new,0.9037800,Q1 2022,FINANCE,13F,03/31/2022,8.26,
Digitalocean holdings inc,DOCN,CALL,200000.0,11570000.0,0.175137,,79,200000.0,,new,N/A,Q1 2022,INFORMATION TECHNOLOGY,13F,03/31/2022,,
Invacare corp note 5.000%11/1,DEBT-INVA,PRN,13500000.0,11340000.0,0.171656,0.1748,80,0.0,0.0,,N/A,Q2 2020, ,13F,03/31/2022,,
Eventbrite inc note 0.750% 9/1,DEBT-EVEN,PRN,12750000.0,11153000.0,0.168825,,81,12750000.0,,new,N/A,Q1 2022, ,13F,03/31/2022,,
Taiwan semiconductor manufacturing co ltd adr,TSM,"",92520.0,9646000.0,0.146013,0.1786,82,-15980.0,-14.728111,reduction,0.0017840,Q3 2021,INFORMATION TECHNOLOGY,13F,03/31/2022,118.71,
Eventbrite inc note 5.000%12/0,DEBT-EVEN,PRN,6500000.0,9460000.0,0.143198,0.1454,83,0.0,0.0,,N/A,Q2 2021, ,13F,03/31/2022,,
Ringcentral inc note 3/0,DEBT-RING,PRN,10000000.0,8747000.0,0.132405,,84,10000000.0,,new,N/A,Q1 2022, ,13F,03/31/2022,,
Axa equitable holdings inc,EQH,"",279046.0,8625000.0,0.130558,0.1476,85,-50000.0,-15.195444,reduction,0.0732393,Q4 2019,FINANCE,13F,03/31/2022,19.45,
Invesco qqq trust  series 1,QQQ,"",23590.0,8552000.0,0.129453,0.1284,86,0.0,0.0,,No Data,Q3 2020,FINANCE,13F,03/31/2022,277.84,
Financial select sector spdr,XLF,PUT,220000.0,8430000.0,0.127607,,87,220000.0,,new,No Data,Q1 2022,FINANCE,13F,03/31/2022,,
Academy sports and outdoors  inc.,ASO,"",208500.0,8215000.0,0.124352,0.2064,88,-135000.0,-39.30131,reduction,0.2450152,Q2 2021,CONSUMER DISCRETIONARY,13F,03/31/2022,40.88,
Illumina inc,ILMN,"",23372.0,8166000.0,0.12361,,89,23372.0,,new,0.0148771,Q1 2022,HEALTH CARE,13F,03/31/2022,349.4,
Transdigm group inc,TDG,"",12500.0,8144000.0,0.123277,0.2046,90,-11000.0,-46.808511,reduction,0.0228914,Q4 2021,INDUSTRIALS,13F,03/31/2022,636.28,
Magnite inc note 0.250% 3/1,DEBT-MAGN,PRN,10000000.0,7989000.0,0.120931,,91,10000000.0,,new,N/A,Q1 2022, ,13F,03/31/2022,,
Columbia banking system  inc.,COLB,"",238321.0,7691000.0,0.11642,0.0683,92,85742.0,56.195151,addition,0.3030554,Q4 2021,FINANCE,13F,03/31/2022,32.5581,
Arclight clean transition corp ii class,ACTD,"",750000.0,7440000.0,0.112621,0.1024,93,0.0,0.0,,2.4103119,Q2 2021,FINANCE,13F,03/31/2022,9.86,
American airlines group inc,AAL,CALL,400000.0,7300000.0,0.110502,,94,400000.0,,new,N/A,Q1 2022,TRANSPORTS,13F,03/31/2022,,
Cme group inc,CME,"",30028.0,7142000.0,0.10811,0.0939,95,0.0,0.0,,0.0083546,Q3 2006,FINANCE,13F,03/31/2022,144.39,
Ci financial corp,CIXX,"",439400.0,6980000.0,0.105658,0.1257,96,0.0,0.0,,0.2284302,Q4 2021,FINANCE,13F,03/31/2022,20.9,
Zim integrated shipping services ltd,ZIM,"",90000.0,6544000.0,0.0990578,,97,90000.0,,new,0.0750329,Q1 2022,TRANSPORTS,13F,03/31/2022,72.71,
Totalenergies se,TTE,"",125000.0,6318000.0,0.0956368,0.1015,98,-25000.0,-16.666667,reduction,0.0047897,Q3 2020,ENERGY,13F,03/31/2022,42.12,
Brightsphere investment group plc,BSIG,"",246326.0,5973000.0,0.0904145,0.0863,99,0.0,0.0,,0.5946245,Q1 2020,FINANCE,13F,03/31/2022,8.83,
East west bancorp  inc.,EWBC,"",74900.0,5919000.0,0.0895971,0.0413,100,36500.0,95.052083,addition,0.0526514,Q3 2021,FINANCE,13F,03/31/2022,78.2612,
Pnc financial services group  inc. (the) (provident national trust co.),PNC,PUT,30500.0,5626000.0,0.0851619,,101,30500.0,,new,N/A,Q1 2022,FINANCE,13F,03/31/2022,,
Denbury inc.,DEN,"",70000.0,5500000.0,0.0832546,0.0524,102,20000.0,40.0,addition,0.1389743,Q3 2020,ENERGY,13F,03/31/2022,75.2129,
Shell plc,SHEL,"",100000.0,5493000.0,0.0831486,,103,100000.0,,new,0.0027221,Q1 2022,ENERGY,13F,03/31/2022,54.93,
Citigroup  inc.,C,PUT,101000.0,5393000.0,0.0816349,,104,101000.0,,new,N/A,Q1 2022,FINANCE,13F,03/31/2022,,
Energy transfer equity lp,ET,"",477750.0,5346000.0,0.0809235,0.0538,105,0.0,0.0,,0.0154835,Q4 2018,ENERGY,13F,03/31/2022,13.09,
Bank of america corp. (north carolina national bank),BAC,PUT,125000.0,5153000.0,0.078002,,106,125000.0,,new,N/A,Q1 2022,FINANCE,13F,03/31/2022,,
Corenergy infrastructure tr note 5.875% 8/1,DEBT-CORE,PRN,5660000.0,4964000.0,0.075141,0.0779,107,-500000.0,-8.116883,reduction,N/A,Q3 2020, ,13F,03/31/2022,,
Unity software inc.,U,CALL,50000.0,4961000.0,0.0750956,,108,50000.0,,new,N/A,Q1 2022,INFORMATION TECHNOLOGY,13F,03/31/2022,,
Corsair partnering corp,CORS.UN,"",500054.0,4951000.0,0.0749443,0.0684,109,0.0,0.0,,No Data,Q3 2021,FINANCE,13F,03/31/2022,9.71,
Atlas crest investment corp ii,ACII,"",500000.0,4910000.0,0.0743236,0.0666,110,0.0,0.0,,1.4492754,Q2 2021,FINANCE,13F,03/31/2022,9.75,
Ares acquisition corp,AAC,"",500000.0,4905000.0,0.074248,0.0666,111,0.0,0.0,,0.5000000,Q2 2021,FINANCE,13F,03/31/2022,9.75,
Jaws mustang acquisition corp.,JWSM,"",500000.0,4905000.0,0.074248,0.0667,112,0.0,0.0,,0.4830918,Q2 2021,FINANCE,13F,03/31/2022,9.76,
Enterprise products partners lp,EPD,"",190000.0,4904000.0,0.0742328,0.0571,113,0.0,0.0,,0.0087138,Q4 2018,ENERGY,13F,03/31/2022,24.59,
Lerer hippeau acquisition corp,LHAA,"",500000.0,4900000.0,0.0741723,0.0673,114,0.0,0.0,,2.1785060,Q1 2021,FINANCE,13F,03/31/2022,9.9,
Rmg acquisition corp iii,RMGC,"",500000.0,4900000.0,0.0741723,0.0668,115,0.0,0.0,,1.0351967,Q2 2021,FINANCE,13F,03/31/2022,9.75,
Fusion acquisition corp ii,FSNB,"",500000.0,4895000.0,0.0740966,0.0664,116,0.0,0.0,,1.0000000,Q2 2021,FINANCE,13F,03/31/2022,9.67,
Figure acquisition corp i,FACA,"",500000.0,4890000.0,0.0740209,0.0671,117,0.0,0.0,,1.7391304,Q2 2021,FINANCE,13F,03/31/2022,10.0,
Peridot acquisition corp ii,PDOT,"",500000.0,4890000.0,0.0740209,0.0666,118,0.0,0.0,,1.2241258,Q2 2021,FINANCE,13F,03/31/2022,9.76,
Colonnade acquisition corp ii class a,CLAA,"",500000.0,4885000.0,0.0739452,0.0664,119,0.0,0.0,,1.5151515,Q2 2021,FINANCE,13F,03/31/2022,9.77,
Esm acquisition corporation class a,ESM,"",500000.0,4885000.0,0.0739452,0.0665,120,0.0,0.0,,1.6289793,Q2 2021,FINANCE,13F,03/31/2022,9.7,
Digital transformation opportunities cor,DTOC,"",500000.0,4880000.0,0.0738695,0.0667,121,0.0,0.0,,1.4992504,Q2 2021,FINANCE,13F,03/31/2022,9.74,
Transphorm inc,TGAN,"",673991.0,4765000.0,0.0721287,,122,673991.0,,new,1.1910485,Q1 2022, ,13F,03/31/2022,7.07,
Tcw special purpose acquisition corp,TSPQ,"",478848.0,4669000.0,0.0706756,0.064,123,0.0,0.0,,1.0321491,Q2 2021,FINANCE,13F,03/31/2022,9.72,
Warby parker inc,WRBY,"",128216.0,4335000.0,0.0656198,0.2091,124,-200000.0,-60.935482,reduction,0.1345488,Q4 2021,CONSUMER DISCRETIONARY,13F,03/31/2022,46.56,
M3-brigade acquisition ii corp,MBAC,"",433614.0,4236000.0,0.0641212,0.0588,125,0.0,0.0,,1.0840350,Q2 2021,FINANCE,13F,03/31/2022,9.72,
Gossamer bio inc note 5.000% 6/0,DEBT-GOSS,PRN,4945000.0,4083000.0,0.0618052,0.0649,126,0.0,0.0,,N/A,Q3 2020, ,13F,03/31/2022,,
Magellan midstream partners lp,MMP,"",81700.0,4009000.0,0.060685,0.0519,127,0.0,0.0,,0.0386176,Q4 2018,ENERGY,13F,03/31/2022,57.06,
Walt disney co. (the),DIS,"",28736.0,3941000.0,0.0596557,0.2224,128,-76198.0,-72.615168,reduction,0.0015784,Q1 2020,COMMUNICATIONS,13F,03/31/2022,156.41,
Austerlitz acquisition corp i,AUS,"",400000.0,3928000.0,0.0594589,0.0531,129,0.0,0.0,,0.5797101,Q2 2021,FINANCE,13F,03/31/2022,9.92,
Apollo strategic growth capital ii,APGB,"",400000.0,3920000.0,0.0593378,0.0535,130,0.0,0.0,,0.5797101,Q2 2021,FINANCE,13F,03/31/2022,9.74,
Churchill capital corp vii,CVII,"",400000.0,3916000.0,0.0592773,0.0538,131,0.0,0.0,,0.2898551,Q2 2021,FINANCE,13F,03/31/2022,9.73,
Ftac hera acquisition corp,HERA,"",400000.0,3916000.0,0.0592773,0.0535,132,0.0,0.0,,0.4594123,Q2 2021,FINANCE,13F,03/31/2022,9.75,
Independence holdings corp class a,ACQR,"",400000.0,3916000.0,0.0592773,0.0532,133,0.0,0.0,,0.9516277,Q2 2021,FINANCE,13F,03/31/2022,9.9,
Vector acquisition ii corp,VAQC,"",400000.0,3904000.0,0.0590956,0.0535,134,0.0,0.0,,0.8888889,Q1 2021,FINANCE,13F,03/31/2022,9.9,
Fluence energy inc,FLNC,"",256100.0,3357000.0,0.0508156,,135,256100.0,,new,0.4642011,Q1 2022,UTILITIES AND TELECOMMUNICATIONS,13F,03/31/2022,13.11,
Toast inc,TOST,"",152130.0,3306000.0,0.0500436,0.0723,136,0.0,0.0,,0.0536926,Q4 2021,INFORMATION TECHNOLOGY,13F,03/31/2022,34.71,
Star peak energy transition corp,STEM,"",300000.0,3303000.0,0.0499982,,137,300000.0,,new,0.1945371,Q1 2022,FINANCE,13F,03/31/2022,11.01,
Spotify technology sa,SPOT,"",20775.0,3137000.0,0.0474854,0.1169,138,-15725.0,-43.082192,reduction,0.0115902,Q2 2021,COMMUNICATIONS,13F,03/31/2022,240.3,
Solid power inc,SLDP,"",350000.0,3035000.0,0.0459414,0.0478,139,-50000.0,-12.5,reduction,0.2010629,Q2 2021,FINANCE,13F,03/31/2022,10.37,
Landcadia holdings iv inc,LCA,"",300000.0,2946000.0,0.0445942,0.0399,140,0.0,0.0,,0.6000000,Q3 2021, ,13F,03/31/2022,9.74,
Fintech evolution acquisition group,FTEV,"",300000.0,2940000.0,0.0445034,0.0399,141,0.0,0.0,,1.0944848,Q3 2021,FINANCE,13F,03/31/2022,9.69,
Tailwind international acquisition corp.,TWNI,"",300000.0,2937000.0,0.0444579,0.04,142,0.0,0.0,,0.8695652,Q3 2021,FINANCE,13F,03/31/2022,9.7,
Pathfinder acquisition corp,PFDR,"",300000.0,2937000.0,0.0444579,0.0398,143,0.0,0.0,,0.9230769,Q2 2021,FINANCE,13F,03/31/2022,9.74,
Gores holdings vii inc class a,GSEV,"",300000.0,2937000.0,0.0444579,0.0401,144,0.0,0.0,,0.5454545,Q2 2021,FINANCE,13F,03/31/2022,9.9,
Orion acquisition corp,OHPA,"",300000.0,2931000.0,0.0443671,0.0401,145,0.0,0.0,,0.7246377,Q3 2021,FINANCE,13F,03/31/2022,9.7,
Ares management lp,ARES,"",35300.0,2867000.0,0.0433983,,146,35300.0,,new,0.0205750,Q1 2022,FINANCE,13F,03/31/2022,81.23,
10x capital venture acquisition corp iii,VCXB.U,"",250000.0,2508000.0,0.0379641,,147,250000.0,,new,No Data,Q1 2022,FINANCE,13F,03/31/2022,10.03,
Atlantic coastal acquisition corp ii,ACABU,"",250000.0,2493000.0,0.037737,,148,250000.0,,new,1.0000000,Q1 2022,FINANCE,13F,03/31/2022,9.97,
Ithax acquisition corp cl a,ITHX,"",250000.0,2468000.0,0.0373586,0.0336,149,0.0,0.0,,1.0070493,Q3 2021,FINANCE,13F,03/31/2022,9.75,
Noble rock acquisition corp,NRAC,"",250000.0,2453000.0,0.0371315,0.0332,150,0.0,0.0,,1.0351967,Q2 2021,FINANCE,13F,03/31/2022,9.67,
Tlg acquisition one corp,TLGA,"",250000.0,2448000.0,0.0370559,0.0333,151,0.0,0.0,,0.6250000,Q3 2021,FINANCE,13F,03/31/2022,9.85,
Gores technology partners ii inc,GTPB,"",250000.0,2445000.0,0.0370104,0.0339,152,0.0,0.0,,0.5434783,Q3 2021,FINANCE,13F,03/31/2022,9.84,
Western midstream partners  lp,WES,"",94550.0,2385000.0,0.0361022,0.0288,153,0.0,0.0,,0.0234421,Q4 2018,ENERGY,13F,03/31/2022,28.98,
Webster financial corp.,WBS,"",42100.0,2363000.0,0.0357692,,154,42100.0,,new,0.0234404,Q1 2022,FINANCE,13F,03/31/2022,56.12,
Tzp strategies acquisition corp,TZPS,"",240000.0,2352000.0,0.0356027,0.0321,155,0.0,0.0,,0.8347826,Q3 2021,FINANCE,13F,03/31/2022,9.78,
One equity partners open water i corp cl,OEPW,"",240000.0,2350000.0,0.0355724,0.032,156,0.0,0.0,,0.6956522,Q3 2021,FINANCE,13F,03/31/2022,9.73,
