Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price,Recent Price
Valaris ltd,VAL,"",143006.0,7432000.0,2.2717,,16,143006.0,,new,N/A,Q1 2022,ENERGY,13F,03/31/2022,,
Salesforce.com inc.,CRM,"",33346.0,7080000.0,2.1641,3.8511,17,-40031.0,-54.555242,reduction,0.0033514,Q2 2020,INFORMATION TECHNOLOGY,13F,03/31/2022,229.73,
Alphabet inc. class a,GOOGL,"",2541.0,7067000.0,2.1601,7.1762,18,-9453.0,-78.814407,reduction,0.0008448,Q1 2020,COMMUNICATIONS,13F,03/31/2022,1651.36,
Magnite inc. (rubicon project inc.),MGNI,"",442708.0,5848000.0,1.7875,0.4153,19,327785.0,285.221409,addition,0.3356133,Q4 2021,COMMUNICATIONS,13F,03/31/2022,14.3236,
Cbre group inc common stock class a,CBRE,"",59774.0,5471000.0,1.6723,5.0275,20,-164566.0,-73.355621,reduction,0.0182873,Q3 2020,REAL ESTATE,13F,03/31/2022,82.64,
Charles river laboratories international inc,CRL,"",13986.0,3972000.0,1.2141,5.779,21,-60281.0,-81.167948,reduction,0.0275289,Q4 2019,HEALTH CARE,13F,03/31/2022,267.39,
Csx corp,CSX,"",105665.0,3957000.0,1.2095,,22,105665.0,,new,0.0048598,Q1 2022,TRANSPORTS,13F,03/31/2022,37.45,
Pnc financial services group  inc. (the) (provident national trust co.),PNC,"",18770.0,3462000.0,1.0582,0.7774,23,0.0,0.0,,0.0045384,Q3 2021,FINANCE,13F,03/31/2022,195.64,
U.s. bancorp (first national bank of cincinnati),USB,"",61416.0,3264000.0,0.9977,0.7125,24,0.0,0.0,,0.0041337,Q3 2021,FINANCE,13F,03/31/2022,59.44,
Alcoa corp,AA,"",35550.0,3201000.0,0.9784,,25,35550.0,,new,0.0192737,Q1 2022,MATERIALS,13F,03/31/2022,90.03,
Charles schwab corp,SCHW,"",32550.0,2744000.0,0.8387,,26,32550.0,,new,0.0017914,Q1 2022,FINANCE,13F,03/31/2022,84.31,
Tidewater inc.,TDW,"",100000.0,2174000.0,0.6645,,27,100000.0,,new,0.2391515,Q1 2022,ENERGY,13F,03/31/2022,21.74,
Amerco inc,UHAL,"",3514.0,2098000.0,0.6413,,28,3514.0,,new,0.0179215,Q1 2022,TRANSPORTS,13F,03/31/2022,596.94,
Zoom video communications inc,ZM,"",17188.0,2015000.0,0.6159,1.8907,29,-32592.0,-65.472077,reduction,0.0068287,Q4 2021,INFORMATION TECHNOLOGY,13F,03/31/2022,183.91,
Twilio inc,TWLO,"",11271.0,1858000.0,0.5679,,30,11271.0,,new,0.0065582,Q1 2022,INFORMATION TECHNOLOGY,13F,03/31/2022,164.81,
Huntington bancshares  inc. (huntington national bank  columbus  oh),HBAN,"",118685.0,1735000.0,0.5303,0.3779,31,0.0,0.0,,0.0082467,Q3 2021,FINANCE,13F,03/31/2022,15.46,
Harley davidson inc,HOG,"",38770.0,1528000.0,0.467,,32,38770.0,,new,0.0263065,Q1 2022,CONSUMER DISCRETIONARY,13F,03/31/2022,39.4,
First citizens bancshares  inc. class a,FCNCA,"",2140.0,1424000.0,0.4353,0.3668,33,0.0,0.0,,0.0142701,Q3 2021,FINANCE,13F,03/31/2022,843.17,
Adobe systems  inc.,ADBE,"",3063.0,1396000.0,0.4267,2.7825,34,-20696.0,-87.108043,reduction,0.0006545,Q1 2020,INFORMATION TECHNOLOGY,13F,03/31/2022,446.47,
Black knight inc,BKI,"",12741.0,739000.0,0.2259,,35,12741.0,,new,0.0081691,Q1 2022,INFORMATION TECHNOLOGY,13F,03/31/2022,57.99,
Uber technologies inc,UBER,"",7305.0,261000.0,0.0798,11.7798,36,-1353010.0,-99.462992,reduction,0.0003926,Q3 2021,CONSUMER DISCRETIONARY,13F,03/31/2022,44.23,
Freshworks inc,FRSH,"",0.0,0.0,,0.089,"",-16400.0,-100.0,soldall,0.0000000,Q4 2021,INFORMATION TECHNOLOGY,13F,03/31/2022,26.26,
Duolingo inc,DUOL,"",0.0,0.0,,0.0723,"",-3295.0,-100.0,soldall,0.0000000,Q4 2021,INFORMATION TECHNOLOGY,13F,03/31/2022,106.11,
Marqeta inc,MQ,"",0.0,0.0,,0.1008,"",-28400.0,-100.0,soldall,0.0000000,Q4 2021,INFORMATION TECHNOLOGY,13F,03/31/2022,17.17,
Coursera inc,COUR,"",0.0,0.0,,0.2865,"",-56753.0,-100.0,soldall,0.0000000,Q4 2021,INFORMATION TECHNOLOGY,13F,03/31/2022,24.44,
Iac/interactivecorp,IAC,"",0.0,0.0,,0.2456,"",-9100.0,-100.0,soldall,0.0000000,Q3 2020,COMMUNICATIONS,13F,03/31/2022,83.19,
Pinterest inc,PINS,"",0.0,0.0,,0.1753,"",-23370.0,-100.0,soldall,0.0000000,Q4 2021,COMMUNICATIONS,13F,03/31/2022,36.35,
Elastic nv,ESTC,"",0.0,0.0,,1.9785,"",-77829.0,-100.0,soldall,0.0000000,Q1 2021,INFORMATION TECHNOLOGY,13F,03/31/2022,146.54,
Docusign inc,DOCU,"",0.0,0.0,,1.8214,"",-57900.0,-100.0,soldall,0.0000000,Q4 2021,INFORMATION TECHNOLOGY,13F,03/31/2022,152.31,
Sea ltd adr,SE,"",0.0,0.0,,0.2332,"",-5046.0,-100.0,soldall,0.0000000,Q3 2018,INFORMATION TECHNOLOGY,13F,03/31/2022,80.57,
Everbridge inc,EVBG,"",0.0,0.0,,0.3329,"",-23936.0,-100.0,soldall,0.0000000,Q2 2021,INFORMATION TECHNOLOGY,13F,03/31/2022,143.04,
Paypal holdings inc,PYPL,"",0.0,0.0,,6.4568,"",-165789.0,-100.0,soldall,0.0000000,Q1 2020,COMMUNICATIONS,13F,03/31/2022,177.12,
Proqr therapeutics n.v.,PRQR,"",0.0,0.0,,0.0262,"",-15896.0,-100.0,soldall,0.0000000,Q1 2019,HEALTH CARE,13F,03/31/2022,4.2,
Alibaba group holding ltd adr,BABA,"",0.0,0.0,,0.2016,"",-8213.0,-100.0,soldall,0.0000000,Q1 2021,COMMUNICATIONS,13F,03/31/2022,226.73,
Ihs markit ltd,INFO,"",0.0,0.0,,1.3556,"",-49383.0,-100.0,soldall,N/A,Q2 2020,INFORMATION TECHNOLOGY,13F,03/31/2022,81.76,
Jd.com inc adr,JD,"",0.0,0.0,,0.1929,"",-13331.0,-100.0,soldall,0.0000000,Q4 2019,CONSUMER DISCRETIONARY,13F,03/31/2022,79.99,
Wix.com ltd,WIX,"",0.0,0.0,,1.1396,"",-34970.0,-100.0,soldall,0.0000000,Q4 2021,COMMUNICATIONS,13F,03/31/2022,157.79,
Meta platforms inc,META,"",0.0,0.0,,1.385,"",-19939.0,-100.0,soldall,0.0000000,Q1 2020,COMMUNICATIONS,13F,03/31/2022,226.21,
Amazon.com inc.,AMZN,"",0.0,0.0,,7.1375,"",-207300.0,-100.0,soldall,0.0000000,Q1 2020,CONSUMER DISCRETIONARY,13F,03/31/2022,3010.57,
Acacia research corp,ACTG,"",0.0,0.0,,0.159,"",-150000.0,-100.0,soldall,0.0000000,Q1 2021,INDUSTRIALS,13F,03/31/2022,6.65,
Boeing company,BA,"",0.0,0.0,,1.7993,"",-43275.0,-100.0,soldall,0.0000000,Q4 2020,INDUSTRIALS,13F,03/31/2022,201.32,
Apple inc,AAPL,"",0.0,0.0,,2.1031,"",-57345.0,-100.0,soldall,0.0000000,Q2 2020,INFORMATION TECHNOLOGY,13F,03/31/2022,99.09,
