Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price,Recent Price
Paypal holdings inc,PYPL,"",1455865.0,168371000.0,0.3074,0.4632,64,48015.0,3.41052,addition,0.1257180,Q3 2015,COMMUNICATIONS,13F,03/31/2022,66.9702,
Applied materials inc.,AMAT,"",1261561.0,166274000.0,0.3035,0.3669,65,-75044.0,-5.614523,reduction,0.1450158,Q3 2014,INFORMATION TECHNOLOGY,13F,03/31/2022,35.08,
International business machines corp.,IBM,"",1245158.0,161895000.0,0.2955,0.293,66,-11224.0,-0.893359,reduction,0.1384377,Q3 2014,INFORMATION TECHNOLOGY,13F,03/31/2022,153.07,
American express co,AXP,"",861264.0,161056000.0,0.294,0.2517,67,-20628.0,-2.339062,reduction,0.1143685,Q3 2014,FINANCE,13F,03/31/2022,90.77,
Elevance health inc,ELV,"",327747.0,160996000.0,0.2939,0.2647,68,442.0,0.135042,addition,0.1359468,Q1 2015,HEALTH CARE,13F,03/31/2022,197.6464,
Caterpillar inc.,CAT,"",712503.0,158760000.0,0.2898,0.2608,69,-10671.0,-1.475578,reduction,0.1335893,Q3 2014,INDUSTRIALS,13F,03/31/2022,114.77,
Charles schwab corp,SCHW,"",1847415.0,155756000.0,0.2843,0.2872,70,-109875.0,-5.613629,reduction,0.1016707,Q3 2014,FINANCE,13F,03/31/2022,41.36,
Morgan stanley,MS,"",1739298.0,152015000.0,0.2775,0.3224,71,-143081.0,-7.601073,reduction,0.0994291,Q3 2014,FINANCE,13F,03/31/2022,44.07,
Servicenow inc,NOW,"",272695.0,151861000.0,0.2772,0.2853,72,20790.0,8.253111,addition,0.1360347,Q3 2015,INFORMATION TECHNOLOGY,13F,03/31/2022,184.3649,
Prologis  inc.,PLD,"",934769.0,150946000.0,0.2756,0.2929,73,-62415.0,-6.259126,reduction,0.1262746,Q3 2014,REAL ESTATE,13F,03/31/2022,67.89,
Blackrock inc. class a,BLK,"",195140.0,149120000.0,0.2722,0.3056,74,3805.0,1.988659,addition,0.1288025,Q3 2014,FINANCE,13F,03/31/2022,437.7219,
Starbucks corp.,SBUX,"",1620697.0,147435000.0,0.2691,0.3314,75,-3060.0,-0.188452,reduction,0.1413111,Q3 2014,CONSUMER DISCRETIONARY,13F,03/31/2022,59.79,
Lockheed martin corp.,LMT,"",330709.0,145975000.0,0.2665,0.2034,76,2661.0,0.811162,addition,0.1242767,Q3 2014,INDUSTRIALS,13F,03/31/2022,263.9693,
American tower corp.  class a,AMT,"",580698.0,145883000.0,0.2663,0.3029,77,-12941.0,-2.179944,reduction,0.1272491,Q3 2014,UTILITIES AND TELECOMMUNICATIONS,13F,03/31/2022,143.89,
Goldman sachs group inc,GS,"",440389.0,145372000.0,0.2654,0.3063,78,-18501.0,-4.031685,reduction,0.1282263,Q3 2014,FINANCE,13F,03/31/2022,206.67,
Target corp.,TGT,"",672846.0,142791000.0,0.2607,0.2754,79,-9161.0,-1.343241,reduction,0.1451049,Q3 2014,CONSUMER DISCRETIONARY,13F,03/31/2022,76.6,
Micron technology  inc.,MU,"",1810828.0,141045000.0,0.2575,0.2911,80,19430.0,1.084628,addition,0.1641514,Q3 2014,INFORMATION TECHNOLOGY,13F,03/31/2022,38.4874,
Intuitive surgical inc,ISRG,"",467379.0,140999000.0,0.2574,0.2806,81,19655.0,4.389981,addition,0.1302049,Q3 2014,HEALTH CARE,13F,03/31/2022,96.2101,
Citigroup  inc.,C,"",2621444.0,139985000.0,0.2555,0.2804,82,-40316.0,-1.514637,reduction,0.1323364,Q3 2014,FINANCE,13F,03/31/2022,56.34,
Boeing company,BA,"",722338.0,138328000.0,0.2525,0.245,83,24913.0,3.57214,addition,0.1220917,Q3 2014,INDUSTRIALS,13F,03/31/2022,197.5248,
Automatic data processing inc,ADP,"",592521.0,134822000.0,0.2461,0.2532,84,3973.0,0.675051,addition,0.1418372,Q3 2014,INFORMATION TECHNOLOGY,13F,03/31/2022,108.6625,
Analog devices inc,ADI,"",808321.0,133518000.0,0.2437,0.2351,85,41488.0,5.410304,addition,0.1555044,Q3 2014,INFORMATION TECHNOLOGY,13F,03/31/2022,113.4773,
Altria group  inc. (philip morris),MO,"",2523315.0,131843000.0,0.2407,0.2173,86,-105131.0,-3.99974,reduction,0.1393668,Q3 2014,CONSUMER STAPLES,13F,03/31/2022,53.0,
General electric co,GE,"",1439810.0,131743000.0,0.2405,0.2325,87,29134.0,2.065251,addition,0.1308127,Q3 2014,INDUSTRIALS,13F,03/31/2022,102.7967,
Booking holdings inc. (priceline),BKNG,"",55326.0,129930000.0,0.2372,0.2307,88,203.0,0.368267,addition,0.1361929,Q3 2014,CONSUMER DISCRETIONARY,13F,03/31/2022,1508.4235,
Blackstone group inc,BX,"",1006313.0,127741000.0,0.2332,0.2243,89,12748.0,1.283056,addition,0.1436105,Q4 2019,FINANCE,13F,03/31/2022,59.8903,
Zoetis  inc.,ZTS,"",646260.0,121878000.0,0.2225,0.2835,90,-19715.0,-2.960321,reduction,0.1373185,Q3 2014,HEALTH CARE,13F,03/31/2022,76.92,
Stryker corp.,SYK,"",451470.0,120701000.0,0.2203,0.206,91,9825.0,2.224637,addition,0.1193878,Q3 2014,HEALTH CARE,13F,03/31/2022,139.8074,
3m co. (minnesota mining & manufacturing),MMM,"",787878.0,117299000.0,0.2141,0.2305,92,44084.0,5.92691,addition,0.1384528,Q3 2014,INDUSTRIALS,13F,03/31/2022,168.6011,
Duke energy corp.,DUK,"",1048154.0,117037000.0,0.2137,0.1939,93,-11177.0,-1.0551,reduction,0.1361415,Q3 2014,UTILITIES AND TELECOMMUNICATIONS,13F,03/31/2022,82.0,
Cigna holding co,CI,"",483006.0,115733000.0,0.2113,0.1971,94,-8877.0,-1.804697,reduction,0.1522365,Q3 2014,FINANCE,13F,03/31/2022,159.38,
Ishares msci spain etf,EWP,"",4531893.0,115382000.0,0.2106,0.2077,95,0.0,0.0,,No Data,Q2 2017,FINANCE,13F,03/31/2022,29.99,
Marsh & mclennan companies  inc.,MMC,"",674647.0,114973000.0,0.2099,0.217,96,-41076.0,-5.739092,reduction,0.1344149,Q3 2014,FINANCE,13F,03/31/2022,76.05,
Ford motor co.,F,"",6777317.0,114604000.0,0.2092,0.2302,97,424773.0,6.68666,addition,0.1716249,Q3 2014,CONSUMER DISCRETIONARY,13F,03/31/2022,12.2515,
Mondelez international inc. (kraft foods),MDLZ,"",1821874.0,114377000.0,0.2088,0.2176,98,-59102.0,-3.142092,reduction,0.1316456,Q3 2014,CONSUMER STAPLES,13F,03/31/2022,42.98,
Becton  dickinson and co.,BDX,"",440371.78,114282000.0,0.2086,0.1747,99,32146.05,7.874577,addition,0.1507135,Q3 2014,HEALTH CARE,13F,03/31/2022,203.2782,
Csx corp,CSX,"",3037536.0,113756000.0,0.2077,0.2023,100,-47101.0,-1.526954,reduction,0.1397044,Q3 2014,TRANSPORTS,13F,03/31/2022,26.75,
T-mobile us inc,TMUS,"",885075.0,113599000.0,0.2074,0.1782,101,4273.0,0.485126,addition,0.0708462,Q3 2015,UTILITIES AND TELECOMMUNICATIONS,13F,03/31/2022,83.5573,
Gilead sciences inc.,GILD,"",1901141.0,113023000.0,0.2063,0.2217,102,150798.0,8.61534,addition,0.1515683,Q3 2014,HEALTH CARE,13F,03/31/2022,81.4635,
Pnc financial services group  inc. (the) (provident national trust co.),PNC,"",608376.0,112215000.0,0.2048,0.1985,103,40969.0,7.22039,addition,0.1470997,Q3 2014,FINANCE,13F,03/31/2022,112.8871,
Crown castle international corp,CCI,"",606141.0,111894000.0,0.2043,0.2067,104,38519.0,6.78603,addition,0.1399761,Q3 2014,UTILITIES AND TELECOMMUNICATIONS,13F,03/31/2022,114.5815,
Lam research corp.,LRCX,"",207114.0,111347000.0,0.2033,0.2546,105,4202.0,2.070848,addition,0.1493090,Q4 2014,INFORMATION TECHNOLOGY,13F,03/31/2022,146.3719,
Regeneron pharmaceuticals inc.,REGN,"",157448.0,109965000.0,0.2007,0.1714,106,1906.0,1.225392,addition,0.1457473,Q3 2014,HEALTH CARE,13F,03/31/2022,411.1304,
Eog resources inc,EOG,"",921992.0,109929000.0,0.2007,0.1473,107,-28232.0,-2.971089,reduction,0.1574135,Q3 2014,ENERGY,13F,03/31/2022,87.19,
Cme group inc,CME,"",453795.0,107940000.0,0.197,0.1784,108,6257.0,1.398094,addition,0.1262582,Q3 2014,FINANCE,13F,03/31/2022,131.0828,
Southern co.,SO,"",1458899.0,105785000.0,0.1931,0.1866,109,-100487.0,-6.444011,reduction,0.1373050,Q3 2014,UTILITIES AND TELECOMMUNICATIONS,13F,03/31/2022,50.42,
Hca healthcare inc,HCA,"",416750.0,104446000.0,0.1907,0.1974,110,-23591.0,-5.357439,reduction,0.1410396,Q3 2014,HEALTH CARE,13F,03/31/2022,110.14,
Edwards lifesciences corp.,EW,"",883979.0,104062000.0,0.19,0.1845,111,67706.0,8.294529,addition,0.1421756,Q4 2014,HEALTH CARE,13F,03/31/2022,23.2831,
Truist financial corp,TFC,"",1797126.0,101897000.0,0.186,0.1834,112,1192.0,0.066372,addition,0.1349788,Q3 2014,FINANCE,13F,03/31/2022,48.2956,
U.s. bancorp (first national bank of cincinnati),USB,"",1910461.0,101541000.0,0.1854,0.1855,113,17716.0,0.935995,addition,0.1285865,Q3 2014,FINANCE,13F,03/31/2022,46.5815,
Freeport-mcmoran copper & gold  inc,FCX,"",2038117.0,101376000.0,0.1851,0.1576,114,-126379.0,-5.838726,reduction,0.1406313,Q3 2014,MATERIALS,13F,03/31/2022,20.59,
Charter communications inc,CHTR,"",185355.0,101115000.0,0.1846,0.2132,115,-2112.0,-1.126598,reduction,0.1104235,Q4 2014,COMMUNICATIONS,13F,03/31/2022,286.13,
Tjx companies inc.,TJX,"",1662882.0,100737000.0,0.1839,0.2222,116,-14916.0,-0.889022,reduction,0.1419282,Q3 2014,CONSUMER DISCRETIONARY,13F,03/31/2022,38.42,
Square inc,SQ,"",739415.0,100265000.0,0.183,0.1479,117,214523.0,40.869931,addition,0.1425221,Q1 2018,FINANCE,13F,03/31/2022,95.4353,
Norfolk southern corp.,NSC,"",345773.0,98621000.0,0.18,0.1769,118,5231.0,1.536081,addition,0.1450801,Q3 2014,TRANSPORTS,13F,03/31/2022,132.4467,
Marvell technology group ltd,MRVL,"",1350424.0,96839000.0,0.1768,0.1844,119,142165.0,11.766103,addition,0.1588921,Q2 2021,INFORMATION TECHNOLOGY,13F,03/31/2022,61.6533,
Vertex pharmaceuticals  inc.,VRTX,"",370884.0,96790000.0,0.1767,0.1455,120,-9006.0,-2.370686,reduction,0.1450148,Q3 2014,HEALTH CARE,13F,03/31/2022,147.05,
Estee lauder companies inc.,EL,"",353838.0,96357000.0,0.1759,0.2194,121,14120.0,4.156389,addition,0.1526446,Q3 2014,CONSUMER STAPLES,13F,03/31/2022,137.1003,
Intercontinental exchange inc,ICE,"",725197.0,95813000.0,0.1749,0.1838,122,-45020.0,-5.845106,reduction,0.1299016,Q3 2014,FINANCE,13F,03/31/2022,64.17,
Northrop grumman corp.,NOC,"",212820.0,95177000.0,0.1737,0.1503,123,-9800.0,-4.40212,reduction,0.1369105,Q3 2014,INDUSTRIALS,13F,03/31/2022,229.44,
Emerson electric co.,EMR,"",961231.0,94249000.0,0.1721,0.1471,124,54226.0,5.978578,addition,0.1618234,Q3 2014,INDUSTRIALS,13F,03/31/2022,66.0813,
Activision blizzard inc,ATVI,"",1163380.0,93198000.0,0.1701,0.1462,125,-96008.0,-7.623385,reduction,0.1487924,Q3 2014,INFORMATION TECHNOLOGY,13F,03/31/2022,50.85,
Dominion energy inc,D,"",1091960.0,92784000.0,0.1694,0.1524,126,-20244.0,-1.82017,reduction,0.1345988,Q3 2014,UTILITIES AND TELECOMMUNICATIONS,13F,03/31/2022,74.96,
General motors co,GM,"",2119213.0,92694000.0,0.1692,0.2096,127,70038.0,3.417863,addition,0.1453267,Q3 2014,CONSUMER DISCRETIONARY,13F,03/31/2022,36.7393,
Waste management  inc.,WM,"",582402.0,92311000.0,0.1685,0.1646,128,17244.0,3.051182,addition,0.1402679,Q3 2014,INDUSTRIALS,13F,03/31/2022,75.6383,
Illinois tool works inc,ITW,"",438326.0,91785000.0,0.1676,0.1914,129,-6211.0,-1.397184,reduction,0.1407404,Q3 2014,INDUSTRIALS,13F,03/31/2022,133.07,
Fidelity national information services inc,FIS,"",901375.0,90516000.0,0.1652,0.1672,130,23057.0,2.625131,addition,0.1482655,Q3 2014,FINANCE,13F,03/31/2022,109.2385,
Occidental petroleum corp.,OXY,"",1595022.0,90502000.0,0.1652,0.0733,131,145369.0,10.027848,addition,0.1701918,Q3 2014,ENERGY,13F,03/31/2022,53.7771,
Fedex corporation,FDX,"",390495.0,90357000.0,0.1649,0.1694,132,15173.0,4.042662,addition,0.1506666,Q3 2014,TRANSPORTS,13F,03/31/2022,183.2175,
Boston scientific inc.,BSX,"",2026793.0,89767000.0,0.1639,0.1482,133,26572.0,1.328453,addition,0.1417763,Q3 2014,HEALTH CARE,13F,03/31/2022,26.2595,
Public storage  inc.,PSA,"",228787.0,89291000.0,0.163,0.1597,134,-15625.0,-6.392894,reduction,0.1303415,Q3 2014,REAL ESTATE,13F,03/31/2022,209.65,
Fiserv inc.,FISV,"",872621.0,88484000.0,0.1615,0.1572,135,4629.0,0.5333,addition,0.1338318,Q3 2014,INFORMATION TECHNOLOGY,13F,03/31/2022,65.4816,
Kla corp,KLAC,"",238280.0,87225000.0,0.1592,0.1917,136,-17150.0,-6.714168,reduction,0.1596676,Q1 2016,INFORMATION TECHNOLOGY,13F,03/31/2022,108.13,
Mckesson corp.,MCK,"",284199.0,87002000.0,0.1588,0.1396,137,-37682.0,-11.706811,reduction,0.1979366,Q3 2014,HEALTH CARE,13F,03/31/2022,174.45,
Progressive corp.,PGR,"",762663.0,86936000.0,0.1587,0.1347,138,10303.0,1.369424,addition,0.1303971,Q3 2014,FINANCE,13F,03/31/2022,47.392,
Fortinet inc,FTNT,"",1266285.0,86548000.0,0.158,0.1171,139,332740.0,35.642631,addition,0.1577659,Q3 2018,INFORMATION TECHNOLOGY,13F,03/31/2022,177.6765,
Colgate-palmolive co.,CL,"",1117928.0,84772000.0,0.1548,0.1806,140,-94842.0,-7.820279,reduction,0.1334136,Q3 2014,CONSUMER STAPLES,13F,03/31/2022,70.11,
Devon energy corp.,DVN,"",1423457.0,84169000.0,0.1537,0.0852,141,314163.0,28.320986,addition,0.2156753,Q1 2021,ENERGY,13F,03/31/2022,32.5404,
General dynamics corp. (electric boat),GD,"",347708.0,83860000.0,0.1531,0.1335,142,-19425.0,-5.290998,reduction,0.1252076,Q3 2014,INDUSTRIALS,13F,03/31/2022,156.37,
Palo alto networks inc,PANW,"",134385.0,83656000.0,0.1527,0.1322,143,-1764.0,-1.295639,reduction,0.1348768,Q3 2015,INFORMATION TECHNOLOGY,13F,03/31/2022,180.56,
Moderna inc,MRNA,"",481237.0,82898000.0,0.1513,0.1975,144,35553.0,7.977177,addition,0.1209869,Q2 2020,HEALTH CARE,13F,03/31/2022,103.4306,
Synopsys inc.,SNPS,"",248357.0,82770000.0,0.1511,0.148,145,18142.0,7.88046,addition,0.1623564,Q4 2016,INFORMATION TECHNOLOGY,13F,03/31/2022,120.6736,
Capital one financial corp,COF,"",629505.0,82648000.0,0.1509,0.1751,146,-62349.0,-9.011872,reduction,0.1601587,Q3 2014,FINANCE,13F,03/31/2022,88.3,
