Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price,Recent Price
Li auto inc. ads,LI,"",0.0,0.0,,0.2198,"",-34900.0,-100.0,soldall,0.0000000,Q4 2021,CONSUMER DISCRETIONARY,13F,03/31/2022,32.1,
Momentive global inc,MNTV,"",0.0,0.0,,0.9914,"",-238837.0,-100.0,soldall,0.0000000,Q3 2019,INFORMATION TECHNOLOGY,13F,03/31/2022,17.1,
Twilio inc,TWLO,"",0.0,0.0,,0.5168,"",-10000.0,-100.0,soldall,0.0000000,Q3 2021,INFORMATION TECHNOLOGY,13F,03/31/2022,312.36,
Jd.com inc adr,JD,"",0.0,0.0,,0.3604,"",-26200.0,-100.0,soldall,0.0000000,Q4 2021,CONSUMER DISCRETIONARY,13F,03/31/2022,70.07,
Five9 inc,FIVN,"",0.0,0.0,,0.3288,"",-12200.0,-100.0,soldall,0.0000000,Q4 2021,INFORMATION TECHNOLOGY,13F,03/31/2022,137.32,
Wix.com ltd,WIX,"",0.0,0.0,,0.1549,"",-5000.0,-100.0,soldall,0.0000000,Q1 2021,COMMUNICATIONS,13F,03/31/2022,157.79,
Enphase energy inc,ENPH,"",0.0,0.0,,0.1904,"",-5300.0,-100.0,soldall,0.0000000,Q4 2021,INFORMATION TECHNOLOGY,13F,03/31/2022,182.94,
Tesla inc,TSLA,"",0.0,0.0,,0.6554,"",-3160.0,-100.0,soldall,0.0000000,Q3 2021,CONSUMER DISCRETIONARY,13F,03/31/2022,775.48,
Mastercard inc,MA,"",0.0,0.0,,0.3174,"",-4500.0,-100.0,soldall,0.0000000,Q1 2021,FINANCE,13F,03/31/2022,347.68,
Mastercard inc,MA,CALL,0.0,0.0,,0.938,"",-13300.0,-100.0,soldall,N/A,Q1 2021,FINANCE,13F,03/31/2022,,
